feature	ASV2	ASV3	ASV4	ASV6	ASV7	ASV9	ASV10	ASV11	ASV12	ASV14	ASV15	ASV17	ASV18	ASV21	ASV23	ASV24	ASV25	ASV27	ASV28	ASV29	ASV31	ASV32	ASV34	ASV35	ASV36	ASV39	ASV40	ASV45	ASV46	ASV47	ASV48	ASV49	ASV54	ASV57	ASV62	ASV64	ASV66	ASV70	ASV73	ASV74	ASV76	ASV83	ASV91	ASV92	ASV97	ASV102	ASV104	ASV116	ASV144
22010-0051	0	7.44973836408703	28.532084825117	0	0	0	0.1239328008813	0.220324979344533	0.550812448361333	0	0	0.950151473423299	0.385568713852933	0	0.1652437345084	0.2478656017626	0.0963921784632333	0	0	0	0.564582759570366	0	0.0413109336271	5.9074635086753	0.0550812448361333	0.1652437345084	0	0.633434315615533	0	0.0550812448361333	0.0137703112090333	0	0	0.0963921784632333	0	0	0	24.7590195538419	0.192784356926467	0	0	0	0	0	0.0550812448361333	2.54750757367117	0	0	0
22010-0052	0	0.887968033150807	17.3449755808791	0	2.50850969365103	0	0.614177889595975	2.33091608702087	5.17241379310345	13.4527157022347	0	0.443984016575403	0.295989344383602	0	1.84253366878792	2.13852301317153	0	0	0	0	0.806570963445316	0.369986680479503	0.717774160130235	1.4133491194317	0.688175225691875	0	0.184993340239751	0	1.10256030782892	0	1.82033446795915	0	0	0.184993340239751	0.266390409945242	0	2.3087168861921	3.36687879236348	0.355187213260323	0	0.236791475506882	0.110996004143851	0	0.406985348527453	0.347787479650733	0	0.177593606630161	0	1.06556163978097
22010-0053	0	0.210762961922158	22.3455575851248	2.93663060278207	5.25502318392581	0.0843051847688633	0	2.38864690178446	0.402791438340125	15.2170858507798	0	0.25291555430659	0.955458760713784	0	0	0.412158681092221	0	0	0	0.0983560488970072	0.112406913025151	0	0	1.19900707226828	0.177977612289822	0	0	0.697859585031146	0.379373331459885	0	0	0	0	0	0	0	0	2.08421151234134	0	0	0	0	0	0	0	0	0	0	0
22010-0054	6.91861627674465	4.19916016796641	1.28974205158968	0	3.27934413117376	0	6.42871425714857	1.58968206358728	0.0599880023995201	3.00939812037592	0	0.569886022795441	1.1997600479904	0	0.0999800039992002	0.0999800039992002	0.359928014397121	0.0899820035992801	20.875824835033	0.349930013997201	0	0	0.02999400119976	0	0	0	3.1493701259748	0	0	0.02999400119976	0.02999400119976	1.0497900419916	0.23995200959808	0.13997200559888	0	0.879824035192961	0	0	0.10997800439912	0	0	0	0	0	0.0799840031993601	0.27994401119776	0	0	0
22010-0055	0.672525107604017	0.0627690100430416	0.107604017216643	7.49641319942611	0.475251076040172	3.47919655667145	0	0.0717360114777618	11.280487804878	0.0269010043041607	3.75717360114778	0	3.0577474892396	0.224175035868006	0.152439024390244	1.78443328550933	0.170373027259684	0	0.627690100430416	0.421449067431851	0	0	0.260043041606887	0	0.0627690100430416	0	0	0	0	0.0717360114777618	0	0.0896700143472023	0.197274031563845	0	0	0	2.76183644189383	0	0.0179340028694405	0	0	0.134505021520803	0	0	0	0	1.14777618364419	0	1.45265423242468
22010-0056	0.407464754298753	2.89707440306413	0.391166164126803	4.88142775649906	0.806780213511531	1.52391818107734	0.843452041398419	0.069269008230788	0.505256295330454	0.399315459212778	4.7714122728384	0.293374623095102	0.142612664004564	0.118164778746638	0.29744927063809	0.867899926656344	0.114090131203651	0	1.80506886154348	0	0	0.431912639556678	0.220030967321327	0	0.399315459212778	0.150761959090539	1.21424496781028	0.305598565724065	0.187433786977426	0	2.24920544372912	0	0	1.27943932849808	0.0977915410317008	0.195583082063402	2.90522369815011	0	0.0488957705158504	0.114090131203651	0	0.509330942873441	0.220030967321327	0	0	0	0	0	1.60948577948007
22010-0057	0.10697911360163	0.203769740193581	0.10697911360163	60.5501782985227	0.163015792154865	3.4793683138054	0	0.0611309220580744	2.44523688232298	0.198675496688742	5.36423841059603	0	1.20733571064697	0.0458481915435558	0	0.417727967396842	0.988283239938869	0	0.519612837493632	0	0.147733061640346	0	0.0203769740193581	0	0	0	0	0	0	0.0152827305145186	0	0	0.132450331125828	0	0	0	0.407539480387162	0	1.18186449312277	0	0	0	0	0	0	0	0	0	0.21395822720326
22010-0058	0	15.6150863588297	0	0.0704970038773352	0.146029508031623	5.45848230021653	4.99018077445994	0.0856035047081928	0.16113600886248	0.0402840022156201	0	5.27216878996928	0	21.1591721637545	0.458230525202679	0.397804521879249	1.26391056951508	0	0.402840022156201	12.8455612065059	0.543834029910872	0	0.201420011078101	0	0.206455511355053	0.287023515786293	0.0805680044312402	1.64660859056347	0	0	0.196384510801148	0	7.17055239438038	0	0	0	0.0302130016617151	0	0	0	0.438088524094869	0.146029508031623	1.2941235711768	0	0	0	0.0251775013847626	0	0
22010-0059	7.66137140559019	7.82224009652121	0	0.0502714659159461	5.86165292579932	0	1.38749245928011	1.90026141162276	0.301628795495677	6.07279308264629	0	0.251357329579731	0.0703800522823246	0	0	0.13070581138146	0.754071988739192	0	0	0.160868690931028	0	0.985320731952544	0	1.8700985320732	0	0	0.924994972853408	0	0	0	0	0	0.0402171727327569	0	0	0	0	0	0	0.251357329579731	0	0	0.0201085863663784	0	0	0	0	0.583149004624975	0
22010-0060	1.31371518654756	0.486074619022596	0.157645822385707	0	5.76064109301103	0	0.131371518654756	0.715974776668418	0.82764056752496	0.05911718339464	0	0.229900157645822	0.321860220704151	0.0525486074619023	0	2.81135049921177	0.683131897004729	0	2.66684182869154	0	3.15291644771414	0.0722543352601156	0.091960063058329	0.669994745139254	0.348134524435102	0	0.0656857593273778	0	0	0	0	0	0	0	1.79322122963741	0	0	0	0	0.105097214923805	0.137940094587493	0	0	0	0	0	1.25459800315292	0.157645822385707	0.0656857593273778
