feature	ASV2	ASV3	ASV4	ASV6	ASV7	ASV9	ASV10	ASV11	ASV12	ASV14	ASV15	ASV17	ASV18	ASV21	ASV23	ASV24	ASV25	ASV27	ASV28	ASV29	ASV32	ASV33	ASV35	ASV36	ASV37	ASV39	ASV40	ASV44	ASV46	ASV47	ASV48	ASV49	ASV54	ASV58	ASV62	ASV64	ASV65	ASV70	ASV73	ASV75	ASV78	ASV83	ASV91	ASV92	ASV98	ASV102	ASV104	ASV116	ASV144
22010-0051	0	0.100932835820896	0.386567164179105	0	0	0	0.00167910447761194	0.00298507462686567	0.00746268656716418	0	0	0.0128731343283582	0.00522388059701493	0	0.00223880597014925	0.00335820895522388	0.00130597014925373	0	0	0	0.00764925373134329	0	0.000559701492537313	0.0800373134328358	0.000746268656716418	0.00223880597014925	0	0.00858208955223881	0	0.000746268656716418	0.000186567164179105	0	0	0.00130597014925373	0	0	0	0.33544776119403	0.00261194029850746	0	0	0	0	0	0.000746268656716418	0.0345149253731343	0	0	0
22010-0052	0	0.0141027147725937	0.275473028557997	0	0.0398401692325773	0	0.00975437771771066	0.0370196262780585	0.0821483135503585	0.213656128804795	0	0.00705135738629686	0.00470090492419791	0	0.029263133153132	0.0339640380773299	0	0	0	0	0.0128099659184393	0.00587613115524739	0.0113996944411799	0.022446821013045	0.0109296039487601	0	0.00293806557762369	0	0.0175108708426372	0	0.0289105652838171	0	0	0.00293806557762369	0.00423081443177812	0	0.0366670584087437	0.0534727935127512	0.00564108590903749	0	0.00376072393935833	0.00176283934657422	0	0.00646374427077212	0.00552356328593254	0	0.00282054295451875	0	0.0169232577271125
22010-0053	0	0.00381744146589752	0.404733627417713	0.0531896844248388	0.0951815405497116	0.00152697658635901	0	0.0432643366135053	0.00729555480149304	0.275619273837801	0	0.00458092975907703	0.0173057346454021	0	0	0.00746521886664404	0	0	0	0.00178147268408551	0.00203596878181201	0	0	0.0217170003393281	0.00322361723786902	0	0	0.0126399728537496	0.00687139463861554	0	0	0	0	0	0	0	0	0.0377502544960977	0	0	0	0	0	0	0	0	0	0	0
22010-0054	0.122586359610275	0.0744021257750221	0.0228520814880425	0	0.058104517271922	0	0.113906111603189	0.0281665190434012	0.00106288751107175	0.0533215234720992	0	0.0100974313551816	0.0212577502214349	0	0.00177147918511958	0.00177147918511958	0.00637732506643047	0.00159433126660762	0.369884853852967	0.00620017714791851	0	0	0.000531443755535873	0	0	0	0.0558015943312666	0	0	0.000531443755535873	0.000531443755535873	0.0186005314437555	0.00425155004428698	0.00248007085916741	0	0.0155890168290523	0	0	0.00194862710363153	0	0	0	0	0	0.00141718334809566	0.00496014171833481	0	0	0
22010-0055	0.0167860340196956	0.00156669650850492	0.0026857654431513	0.187108325872874	0.0118621307072516	0.0868397493285587	0	0.0017905102954342	0.281557743957028	0.000671441360787825	0.0937779767233662	0	0.0763205013428827	0.00559534467323187	0.00380483437779767	0.0445389435989257	0.00425246195165622	0	0.0156669650850492	0.0105192479856759	0	0	0.00649059982094897	0	0.00156669650850492	0	0	0	0	0.0017905102954342	0	0.00223813786929275	0.00492390331244405	0	0	0	0.0689346463742167	0	0.00044762757385855	0	0	0.00335720680393912	0	0	0	0	0.0286481647269472	0	0.0362578334825425
22010-0056	0.0122458976242959	0.0870683321087436	0.011756061719324	0.146705853539064	0.0242468772961058	0.0457996571148665	0.0253490080822924	0.0020818025961303	0.0151849130541269	0.0120009796718099	0.143399461180505	0.00881704628949302	0.00428606416850355	0.0035513103110458	0.00893950526573598	0.0260837619397502	0.00342885133480284	0	0.0542493264756307	0	0	0.0129806514817536	0.00661278471711976	0	0.0120009796718099	0.00453098212098947	0.0364927749204017	0.0091844232182219	0.0056331129071761	0	0.0675973548861132	0	0	0.038452118540289	0.00293901542983101	0.00587803085966201	0.0873132500612295	0	0.0014695077149155	0.00342885133480284	0	0.0153073720303698	0.00661278471711976	0	0	0	0	0	0.0483712956159687
22010-0057	0.00137192134317632	0.00261318351081205	0.00137192134317632	0.7765074802378	0.00209054680864964	0.0446201084471157	0	0.000783955053243614	0.0313582021297446	0.00254785392304175	0.0687920559221271	0	0.0154831123015614	0.00058796628993271	0	0.0053570261971647	0.0126739400274384	0	0.00666361795257072	0	0.00189455804533873	0	0.000261318351081205	0	0	0	0	0	0	0.000195988763310904	0	0	0.00169856928202783	0	0	0	0.00522636702162409	0	0.0151564643627099	0	0	0	0	0	0	0	0	0	0.00274384268635265
22010-0058	0	0.193655155186411	0	0.00087428963966777	0.00181102853931181	0.0676949978142759	0.0618872166364828	0.00106163741959658	0.00199837631924062	0.000499594079810154	0	0.0653843751951539	0	0.262411790420284	0.0056828826578405	0.00493349153812527	0.0156747642540436	0	0.00499594079810154	0.159308062199463	0.00674452007743708	0	0.00249797039905077	0	0.00256041965902704	0.00355960781864735	0.000999188159620308	0.0204209080122401	0	0	0.0024355211390745	0	0.0889277462062075	0	0	0	0.000374695559857616	0	0	0	0.00543308561793543	0.00181102853931181	0.0160494598139012	0	0	0	0.000312246299881346	0	0
22010-0059	0.20650406504065	0.210840108401084	0	0.0013550135501355	0.157994579945799	0	0.0373983739837398	0.051219512195122	0.00813008130081301	0.163685636856369	0	0.00677506775067751	0.0018970189701897	0	0	0.0035230352303523	0.0203252032520325	0	0	0.0043360433604336	0	0.0265582655826558	0	0.0504065040650406	0	0	0.0249322493224932	0	0	0	0	0	0.0010840108401084	0	0	0	0	0	0	0.00677506775067751	0	0	0.0005420054200542	0	0	0	0	0.0157181571815718	0
22010-0060	0.0544365813826892	0.020141535111595	0.0065323897659227	0	0.238704409363092	0	0.00544365813826892	0.0296679368535656	0.0342950462710942	0.00244964616222101	0	0.0095264017419706	0.0133369624387588	0.00217746325530757	0	0.116494284158955	0.0283070223189984	0	0.110506260206859	0	0.130647795318454	0.0029940119760479	0.00381056069678824	0.0277626565051715	0.0144256940664126	0	0.00272182906913446	0	0	0	0	0	0	0	0.0743059335873707	0	0	0	0	0.00435492651061513	0.00571584104518236	0	0	0	0	0	0.0519869352204682	0.0065323897659227	0.00272182906913446
