feature	ASV2	ASV3	ASV4	ASV6	ASV7	ASV9	ASV10	ASV11	ASV12	ASV14	ASV15	ASV17	ASV18	ASV21	ASV23	ASV24	ASV25	ASV27	ASV28	ASV29	ASV31	ASV32	ASV34	ASV35	ASV36	ASV39	ASV40	ASV45	ASV46	ASV47	ASV48	ASV49	ASV54	ASV57	ASV62	ASV64	ASV66	ASV70	ASV73	ASV74	ASV76	ASV83	ASV91	ASV92	ASV97	ASV102	ASV104	ASV116	ASV144
22010-0051	-11.0674343607565	-3.30853250151832	-1.37120899765858	-11.1596010763809	-10.1089750033109	-11.4422955886025	-9.21809228390282	-8.38801728534513	-7.06608919045777	-11.9669559984385	-10.7536100416344	-6.27949282856697	-7.58066236328753	-12.5381889320524	-8.80305478462398	-8.21809228390282	-9.58066236328753	-10.292832864218	-8.64502790355116	-10.8012233378862	-7.03046528072705	-12.4821777111874	-10.803054784624	-3.64318344784559	-10.3880172853451	-8.80305478462398	-12.2140588709505	-6.86445532928812	-9.68740808643905	-10.3880172853451	-12.3880172853451	-9.80348537559595	-11.8514887915658	-9.58066236328753	-9.9344280406268	-8.41045135150399	-12.3819934977174	-1.57583997983069	-8.58066236328753	-14.4821777111874	-9.61943397253796	-10.1478832816214	-11.8494051009478	-11.2723705871602	-10.3880172853451	-4.85663582482882	-12.6450279035512	-8.25817341039019	-10.0624430167747
22010-0052	-11.0674343607565	-6.14788328162142	-1.86001702280769	-11.1596010763809	-4.64963241409359	-11.4422955886025	-6.67973444588301	-4.75556585884266	-3.6056252318545	-2.22663739303583	-10.7536100416344	-7.14788328162142	-7.73284578234258	-12.5381889320524	-5.09477194516186	-4.87984819472926	-10.5806623632875	-10.292832864218	-8.64502790355116	-10.8012233378862	-6.28658955245301	-7.41091768745521	-6.45486103504281	-5.47734504919419	-6.51561506612191	-10.1203674937152	-8.41091768745521	-9.07875731341512	-5.83560535676778	-13.4422955886025	-5.1122593718907	-9.80348537559595	-11.8514887915658	-8.41091768745521	-7.88484887578763	-8.41045135150399	-4.76937165836769	-4.22505114214388	-7.46981137650878	-14.4821777111874	-8.05477387722994	-9.14788328162142	-11.8494051009478	-7.27341416370528	-7.5001850255523	-13.2561103821636	-8.46981137650878	-8.25817341039019	-5.88484887578763
22010-0053	-11.0674343607565	-8.03317824879433	-1.3049553741397	-4.23270971232196	-3.39317438451521	-9.35510634368169	-10.2180922839028	-4.53067790826514	-7.0987665904219	-1.85925131679452	-10.7536100416344	-7.77014384296053	-5.8526060031525	-12.5381889320524	-13.4422955886025	-7.0655997264867	-10.5806623632875	-10.292832864218	-8.64502790355116	-9.13271392234524	-8.94006884440284	-12.4821777111874	-12.9019039380747	-5.525031345124	-8.27710383168042	-10.1203674937152	-12.2140588709505	-6.30586282466184	-7.18518134223938	-13.4422955886025	-13.3880172853451	-9.80348537559595	-11.8514887915658	-10.5806623632875	-9.9344280406268	-8.41045135150399	-12.3819934977174	-4.72736981927024	-12.1254134704833	-14.4821777111874	-9.61943397253796	-10.1478832816214	-11.8494051009478	-11.2723705871602	-11.3880172853451	-13.2561103821636	-12.6450279035512	-8.25817341039019	-10.0624430167747
22010-0054	-3.02812963802364	-3.74851234799424	-5.45153061023711	-11.1596010763809	-4.10520586104228	-11.4422955886025	-3.13408293833242	-5.14987491037601	-9.87779536493921	-4.22913818890066	-10.7536100416344	-6.62986785149562	-5.55586727005184	-12.5381889320524	-9.140829770773	-9.140829770773	-7.29283286421805	-9.29283286421805	-1.43485186909048	-7.3334748487154	-10.0439229429472	-12.4821777111874	-10.8777953649392	-10.0214137930081	-11.3880172853451	-10.1203674937152	-4.16354984727308	-9.07875731341512	-9.68740808643905	-10.8777953649392	-10.8777953649392	-5.74851234799424	-7.87779536493921	-8.65540294360276	-9.9344280406268	-6.00332624702307	-12.3819934977174	-5.72736981927024	-9.00332624702307	-14.4821777111874	-9.61943397253796	-10.1478832816214	-11.8494051009478	-11.2723705871602	-9.46275786566036	-7.65540294360276	-12.6450279035512	-8.25817341039019	-10.0624430167747
22010-0055	-5.89659477998743	-9.31805854842571	-8.54045096976216	-2.41805433840243	-6.39749301592011	-3.52550062829619	-10.2180922839028	-9.12541347048331	-1.82849726360403	-10.5404509697622	-3.41460703678396	-8.77014384296053	-3.71178554145914	-7.48155728070859	-8.03795062923298	-4.48878884993967	-7.87748595703973	-10.292832864218	-5.99613045353835	-6.57082461880568	-10.0439229429472	-12.4821777111874	-7.26743247535574	-10.0214137930081	-9.31805854842571	-10.1203674937152	-12.2140588709505	-9.07875731341512	-9.68740808643905	-9.12541347048331	-13.3880172853451	-8.80348537559595	-7.66598185184602	-10.5806623632875	-9.9344280406268	-8.41045135150399	-3.85862692978841	-5.72736981927024	-11.1254134704833	-14.4821777111874	-9.61943397253796	-8.2185228748748	-11.8494051009478	-11.2723705871602	-11.3880172853451	-13.2561103821636	-5.12541347048331	-8.25817341039019	-4.78556346759869
22010-0056	-6.35155766245043	-3.52170810260574	-6.410451351504	-2.76900165943636	-5.36605723214554	-4.44851939233751	-5.30192689472583	-8.90795101097481	-6.04121754183828	-6.38070400810994	-2.80188849172394	-6.82548885078284	-7.86613083528018	-8.13743285709758	-6.80558929334513	-5.26070423199931	-8.18805893016755	-10.292832864218	-4.20425096367013	-10.8012233378862	-10.0439229429472	-6.26749339766195	-7.24052635006168	-10.0214137930081	-6.38070400810994	-7.7859604865962	-4.77624533176299	-6.76659516172927	-7.47185189616814	-13.4422955886025	-3.88688939544698	-9.80348537559595	-11.8514887915658	-4.70079310333352	-8.41045135150399	-7.410451351504	-3.51765558578126	-5.72736981927024	-9.41045135150399	-8.18805893016755	-9.61943397253796	-6.02962956756306	-7.24052635006168	-11.2723705871602	-11.3880172853451	-13.2561103821636	-12.6450279035512	-8.25817341039019	-4.36970500916069
22010-0057	-9.50958651529598	-8.57997584318738	-9.50958651529598	-0.364928272464098	-8.90190393807474	-4.48616216978465	-10.2180922839028	-10.3169414373536	-4.99501334246622	-8.61650171921249	-3.86161421704902	-8.77014384296053	-6.01316068917648	-10.7319789366324	-13.4422955886025	-7.54435193345666	-6.30199109588761	-10.292832864218	-7.22947859610325	-10.8012233378862	-9.04392294294717	-12.4821777111874	-11.9019039380747	-10.0214137930081	-11.3880172853451	-10.1203674937152	-12.2140588709505	-9.07875731341512	-9.68740808643905	-12.3169414373536	-13.3880172853451	-9.80348537559595	-9.20146421993365	-10.5806623632875	-9.9344280406268	-8.41045135150399	-7.57997584318738	-5.72736981927024	-6.04392294294717	-14.4821777111874	-9.61943397253796	-10.1478832816214	-11.8494051009478	-11.2723705871602	-11.3880172853451	-13.2561103821636	-12.6450279035512	-8.25817341039019	-8.50958651529598
22010-0058	-11.0674343607565	-2.3684381878259	-11.5381889320524	-10.1596010763809	-9.10897500331095	-3.88480695708465	-4.01421475125203	-9.87949315718818	-8.96695599843852	-10.9669559984385	-10.7536100416344	-3.93491027150771	-10.0420501788902	-1.93009555176548	-7.45916135823982	-7.66317525026142	-5.99541244448775	-10.292832864218	-7.64502790355116	-2.65010881483605	-7.21206849627505	-12.4821777111874	-8.64502790355116	-10.0214137930081	-8.60940399382044	-8.13406598427378	-9.96695599843852	-5.61380917294044	-9.68740808643905	-13.4422955886025	-8.68155377957627	-9.80348537559595	-3.49122256747212	-10.5806623632875	-9.9344280406268	-8.41045135150399	-11.3819934977174	-5.72736981927024	-12.1254134704833	-14.4821777111874	-7.52401250258979	-9.10897500331095	-5.96133144924464	-11.2723705871602	-11.3880172853451	-13.2561103821636	-11.6450279035512	-8.25817341039019	-10.0624430167747
22010-0059	-2.27575791345444	-2.24577875596157	-11.5381889320524	-9.5274770060604	-2.66205302774726	-11.4422955886025	-4.74088064416959	-4.28716267672669	-6.94251450533924	-2.61100036162268	-10.7536100416344	-7.20554891117303	-9.04205017889015	-12.5381889320524	-13.4422955886025	-8.14896538280667	-5.62058641045188	-10.292832864218	-8.64502790355116	-7.84940510094776	-10.0439229429472	-5.23469525683255	-12.9019039380747	-4.31024628983973	-11.3880172853451	-10.1203674937152	-5.32584314489075	-9.07875731341512	-9.68740808643905	-13.4422955886025	-13.3880172853451	-9.80348537559595	-9.84940510094776	-10.5806623632875	-9.9344280406268	-8.41045135150399	-12.3819934977174	-5.72736981927024	-12.1254134704833	-7.20554891117303	-9.61943397253796	-10.1478832816214	-10.8494051009478	-11.2723705871602	-11.3880172853451	-13.2561103821636	-12.6450279035512	-5.99142410582019	-10.0624430167747
22010-0060	-4.19927972133662	-5.6336825454824	-7.25817341039019	-11.1596010763809	-2.06670287866662	-11.4422955886025	-7.52120781622399	-5.07495158633442	-4.86585598761143	-8.67321090966904	-10.7536100416344	-6.71385289416638	-6.22842606699614	-8.84313591111135	-13.4422955886025	-3.1016689247102	-5.14269619297026	-10.292832864218	-3.17779999392617	-10.8012233378862	-2.93624531550283	-8.38370429247405	-8.03578098905374	-5.17071056913985	-6.11521545654815	-10.1203674937152	-8.52120781622399	-9.07875731341512	-9.68740808643905	-13.4422955886025	-13.3880172853451	-9.80348537559595	-11.8514887915658	-10.5806623632875	-3.7503787701915	-8.41045135150399	-12.3819934977174	-5.72736981927024	-12.1254134704833	-7.84313591111135	-7.45081848833259	-10.1478832816214	-11.8494051009478	-11.2723705871602	-11.3880172853451	-13.2561103821636	-4.2657070830756	-7.25817341039019	-8.52120781622399
22010-0061	-9.01376676504023	-2.97136119877523	-11.5381889320524	-11.1596010763809	-10.1089750033109	-11.4422955886025	-2.52337167291842	-12.2140588709505	-9.30327338223521	-11.9669559984385	-10.7536100416344	-3.76239194997818	-10.0420501788902	-12.5381889320524	-4.00559283359453	-6.28337382479751	-7.34391536673256	-10.292832864218	-8.64502790355116	-4.25887926287676	-8.47319838367753	-2.94963642762051	-4.51319645160945	-10.0214137930081	-5.16031542839317	-6.45083057064907	-4.29827270117685	-9.07875731341512	-6.8293421939028	-6.36467392689936	-5.14228150556291	-9.80348537559595	-3.72836454617798	-10.5806623632875	-5.9340395725695	-8.41045135150399	-10.1512702887902	-5.72736981927024	-12.1254134704833	-5.16941763550042	-5.8293421939028	-5.33364703127873	-11.8494051009478	-11.2723705871602	-11.3880172853451	-7.22527087023394	-8.47319838367753	-8.25817341039019	-10.0624430167747
22010-0062	-11.0674343607565	-5.86486676056677	-11.5381889320524	-11.1596010763809	-10.1089750033109	-10.4422955886025	-3.27738866192683	-12.2140588709505	-11.4422955886025	-11.9669559984385	-0.802276656146733	-4.91873363254551	-10.0420501788902	-12.5381889320524	-12.4422955886025	-9.04997816582376	-8.12036749371516	-10.292832864218	-8.64502790355116	-6.48809927821564	-8.535404992994	-12.4821777111874	-11.8573330878814	-10.0214137930081	-9.98286396996522	-9.12036749371516	-7.23284222297357	-3.4020058675768	-8.68740808643905	-12.4422955886025	-13.3880172853451	-2.99935209275379	-10.6349406665449	-8.98286396996522	-9.9344280406268	-6.34426350564199	-12.3819934977174	-5.72736981927024	-8.44229558860252	-14.4821777111874	-9.61943397253796	-10.1478832816214	-11.8494051009478	-10.2723705871602	-11.3880172853451	-8.9187336325455	-12.6450279035512	-8.25817341039019	-10.0624430167747
22010-0063	-11.0674343607565	-5.92220964561018	-11.5381889320524	-11.1596010763809	-10.1089750033109	-9.14063316474368	-6.4923447286537	-12.2140588709505	-3.37244883996676	-11.9669559984385	-9.75361004163444	-8.77014384296053	-4.91033554532189	-8.41480812818268	-2.94474047897483	-3.92668775072933	-6.24116004069765	-10.292832864218	-8.64502790355116	-3.5696098549804	-5.6122541923889	-12.4821777111874	-4.01452439559386	-10.0214137930081	-3.76425728583395	-4.6964146400529	-12.2140588709505	-4.37346733280178	-4.92220964561018	-6.97070816330137	-4.50345098089227	-9.80348537559595	-11.8514887915658	-10.5806623632875	-3.86809309681849	-8.41045135150399	-4.7830811601256	-5.72736981927024	-12.1254134704833	-14.4821777111874	-6.78579044738359	-4.97379414317512	-4.774983692427	-8.9830918877572	-11.3880172853451	-12.2561103821636	-5.17218789861853	-8.25817341039019	-8.05971316936012
