feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV1	SexuallyActive	yes	1.59008119278493	1.15268859577665	75	24	0.172024274515086	0.627372091301072
ASV4	SexuallyActive	yes	1.60090706130107	1.09234495792179	75	25	0.147119309693766	0.627372091301072
ASV5	SexuallyActive	yes	1.45177605917467	1.06887476952321	75	24	0.178632056377698	0.627372091301072
ASV6	SexuallyActive	yes	1.65465617956759	1.17978181459243	75	26	0.1650600795275	0.627372091301072
ASV8	SexuallyActive	yes	1.48515201654463	1.03574405107256	75	24	0.155929973134582	0.627372091301072
ASV9	SexuallyActive	yes	1.81686950676211	1.28024455271357	75	24	0.16016771913446	0.627372091301072
ASV10	SexuallyActive	yes	1.6685552359832	1.10929805692146	75	24	0.136915835752843	0.627372091301072
ASV12	SexuallyActive	yes	1.31552237791006	0.975281409829702	75	24	0.181607710639784	0.627372091301072
ASV13	SexuallyActive	yes	1.48243955324498	1.08764064142989	75	25	0.17713428904147	0.627372091301072
ASV15	SexuallyActive	yes	1.50636575858521	1.02708587236111	75	25	0.146828191493041	0.627372091301072
ASV17	SexuallyActive	yes	1.49639593011983	1.06669310345474	75	24	0.164963160192302	0.627372091301072
ASV18	SexuallyActive	yes	1.52922263660032	1.09229679666976	75	25	0.165805715724713	0.627372091301072
ASV19	SexuallyActive	yes	1.61791561389706	1.07778121838291	75	24	0.137688659812995	0.627372091301072
ASV21	SexuallyActive	yes	-3.235316591897	2.06719361189699	75	28	0.121949812740854	0.627372091301072
ASV21	SexuallyActive	no	-2.95646663948932	2.12106556026034	75	28	0.167647378213551	0.627372091301072
ASV24	SexuallyActive	yes	1.44229503240345	1.01526346469037	75	24	0.159745966682173	0.627372091301072
ASV25	SexuallyActive	yes	1.3693139456848	0.938674323242891	75	23	0.148976133394304	0.627372091301072
ASV30	SexuallyActive	yes	1.32796219109798	0.964067655500422	75	25	0.172637823067017	0.627372091301072
ASV31	SexuallyActive	yes	1.72291602542468	1.15688935675798	75	23	0.140784812607418	0.627372091301072
ASV33	SexuallyActive	yes	1.49437878344844	1.10670814518721	75	24	0.181151750665951	0.627372091301072
ASV35	SexuallyActive	yes	2.28936539894326	1.650580413749	75	23	0.169718843202089	0.627372091301072
ASV37	SexuallyActive	yes	1.61307229684863	1.08058386130322	75	23	0.139864390707164	0.627372091301072
ASV1	SexuallyActive	no	0.903167304693711	1.18272815286183	75	24	0.44758257820115	0.999564500386066
ASV2	SexuallyActive	yes	-0.100989529602103	1.25662022162565	75	26	0.936169142456977	0.999564500386066
