feature	ASV1	ASV2	ASV3	ASV4	ASV5	ASV6	ASV7	ASV8	ASV9	ASV10	ASV11	ASV12	ASV13	ASV14	ASV15	ASV16	ASV17	ASV18	ASV19	ASV20	ASV21	ASV22	ASV23	ASV24	ASV25	ASV26	ASV27	ASV28	ASV29	ASV30	ASV31	ASV33	ASV34	ASV35	ASV36	ASV37	ASV38	ASV39
22010-0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0003	0	0	0	0	0	0	0	0.256965106843387	0	0	0	0	0	4.50365160941304	0	3.98972139572626	0	0	0	0	3.57046253719232	4.21963754395456	2.82661617527725	0	0	0	3.57046253719232	2.36678387882067	3.69218285096024	0	0	0	2.20449012713011	0	2.71842034081688	0	2.74546929943197	2.59670002704896
22010-0004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16079520537933	0	0.306972664815086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0006	0.627373287105828	0.75945187386495	0.544824170381377	0.478784877001816	0.495294700346706	0.643883110450718	0.643883110450718	0.528314347036487	0.198117880138683	0.610863463760938	0.495294700346706	0.79247152055473	0.379725936932475	1.78306092124814	0.181608056793792	1.89862968466237	0.280666996863134	0.264157173518243	0.379725936932475	0.330196466897804	1.76655109790325	2.09674756480106	1.81608056793792	0.231137526828463	0.396235760277365	0.165098233448902	1.353805514281	0.941059930658742	1.6840019811788	0.148588410104012	0.181608056793792	0.330196466897804	1.05662869407297	0.231137526828463	1.13917781079742	0.231137526828463	1.41984480766056	0.974079577348522
22010-0007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0008	0.102403058438012	0.0546149645002731	0.0682687056253413	0	0.0546149645002731	0.0955761878754779	0.0819224467504096	0.0477880939377389	0	0	0.0682687056253413	0.211632987438558	0.0750955761878755	0.170671764063353	0.102403058438012	0.163844893500819	0.122883670125614	0.0614418350628072	0	0.0887493173129437	0.143364281813217	0.170671764063353	0.122883670125614	0	0	0.0409612233752048	0.170671764063353	0	0.11605679956308	0.0341343528126707	0	0.136537411250683	0	0.0136537411250683	0	0	0	0
22010-0009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.206235593837195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0012	0	0.477370788579822	0.348847883962178	0	0	0	0.2478656017626	0	0	0	0.394748921325622	0	0	0.220324979344533	0	0.257045809235289	0	0	0	0.266226016707978	0.201964564399155	0.156063527035711	0.266226016707978	0	0	0.119342697144955	0.156063527035711	0.284586431653355	0.211144771871844	0	0	0	0.257045809235289	0	0.220324979344533	0	0.192784356926467	0.110162489672267
22010-0013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.144121885937822	0	0	0
22010-0014	0.061038881767686	0	0	0.140389428065678	0.103766099005066	0.061038881767686	0	0	0.26246719160105	0	0	0	0.0671427699444546	0	0	0.775193798449612	0	0.103766099005066	0	0	0	0	0	0.170908868949521	0	0	0.280778856131356	0	0	0.0671427699444546	0	0	0	0	0	0	0	0
22010-0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.208333333333333	0	0	0	0	0	0	0	0	0	0	0
22010-0016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
