feature	ASV1	ASV2	ASV3	ASV4	ASV5	ASV6	ASV7	ASV8	ASV9	ASV10	ASV11	ASV12	ASV13	ASV14	ASV15	ASV16	ASV17	ASV18	ASV19	ASV20	ASV21	ASV22	ASV23	ASV24	ASV25	ASV26	ASV27	ASV28	ASV29	ASV30	ASV31	ASV33	ASV34	ASV35	ASV36	ASV37	ASV38	ASV39
22010-0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0003	0	0	0	0	0	0	0	0.00654495349638305	0	0	0	0	0	0.114708921805029	0	0.101619014812263	0	0	0	0	0.0909404064760593	0.107475025835343	0.0719944884602136	0	0	0	0.0909404064760593	0.0602824664140544	0.0940406476059249	0	0	0	0.0561488115742335	0	0.0692387185669997	0	0.0699276610403031	0.066138477437134
22010-0004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34375	0	0.65625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0006	0.0220289855072464	0.0266666666666667	0.0191304347826087	0.0168115942028986	0.0173913043478261	0.0226086956521739	0.0226086956521739	0.0185507246376812	0.00695652173913044	0.0214492753623188	0.0173913043478261	0.0278260869565217	0.0133333333333333	0.0626086956521739	0.0063768115942029	0.0666666666666667	0.00985507246376812	0.00927536231884058	0.0133333333333333	0.0115942028985507	0.0620289855072464	0.0736231884057971	0.063768115942029	0.00811594202898551	0.0139130434782609	0.00579710144927536	0.047536231884058	0.0330434782608696	0.0591304347826087	0.00521739130434783	0.0063768115942029	0.0115942028985507	0.0371014492753623	0.00811594202898551	0.04	0.00811594202898551	0.0498550724637681	0.0342028985507246
22010-0007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0008	0.0406504065040651	0.021680216802168	0.02710027100271	0	0.021680216802168	0.037940379403794	0.032520325203252	0.018970189701897	0	0	0.02710027100271	0.0840108401084011	0.029810298102981	0.0677506775067751	0.0406504065040651	0.0650406504065041	0.0487804878048781	0.024390243902439	0	0.035230352303523	0.0569105691056911	0.0677506775067751	0.0487804878048781	0	0	0.016260162601626	0.0677506775067751	0	0.0460704607046071	0.013550135501355	0	0.0542005420054201	0	0.00542005420054201	0	0	0	0
22010-0009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0012	0	0.108786610878661	0.0794979079497908	0	0	0	0.0564853556485356	0	0	0	0.0899581589958159	0	0	0.0502092050209205	0	0.0585774058577406	0	0	0	0.0606694560669456	0.0460251046025105	0.0355648535564854	0.0606694560669456	0	0	0.0271966527196653	0.0355648535564854	0.0648535564853557	0.0481171548117155	0	0	0	0.0585774058577406	0	0.0502092050209205	0	0.0439330543933054	0.0251046025104603
22010-0013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
22010-0014	0.0291545189504373	0	0	0.0670553935860058	0.0495626822157434	0.0291545189504373	0	0	0.12536443148688	0	0	0	0.032069970845481	0	0	0.370262390670554	0	0.0495626822157434	0	0	0	0	0	0.0816326530612245	0	0	0.134110787172012	0	0	0.032069970845481	0	0	0	0	0	0	0	0
22010-0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
22010-0016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
