feature	ASV1	ASV2	ASV3	ASV4	ASV5	ASV6	ASV7	ASV8	ASV9	ASV10	ASV11	ASV12	ASV13	ASV14	ASV15	ASV16	ASV17	ASV18	ASV19	ASV20	ASV21	ASV22	ASV23	ASV24	ASV25	ASV26	ASV27	ASV28	ASV29	ASV30	ASV31	ASV33	ASV34	ASV35	ASV36	ASV37	ASV38	ASV39
22010-0001	-8.50928016808786	-8.80884044994677	-8.50928016808786	-8.04984854945056	-8.60238957247934	-8.9243176673667	-8.39803107397315	-8.60238957247934	-9.33935516664555	-8.50928016808786	-10.1873520732005	-8.33935516664555	-8.9243176673667	-11.8349450230622	-8.60238957247934	-9.90565245842884	-8.9436869515971	-8.9243176673667	-8.80884044994677	-8.80884044994677	-10.4952400673549	-10.3883248634384	-9.90565245842884	-8.60238957247934	-8.42181732683752	-8.9243176673667	-10.0694102766992	-9.91027756663373	-10.7362481668587	-8.80884044994677	-9.50928016808786	-9.33935516664555	-10.672117829439	-11.5092801680879	-10.9477522720524	-9.33935516664555	-10.6711872047918	-11.1857603776216
22010-0002	-8.50928016808786	-8.80884044994677	-8.50928016808786	-8.04984854945056	-8.60238957247934	-8.9243176673667	-8.39803107397315	-8.60238957247934	-9.33935516664555	-8.50928016808786	-10.1873520732005	-8.33935516664555	-8.9243176673667	-11.8349450230622	-8.60238957247934	-9.90565245842884	-8.9436869515971	-8.9243176673667	-8.80884044994677	-8.80884044994677	-10.4952400673549	-10.3883248634384	-9.90565245842884	-8.60238957247934	-8.42181732683752	-8.9243176673667	-10.0694102766992	-9.91027756663373	-10.7362481668587	-8.80884044994677	-9.50928016808786	-9.33935516664555	-10.672117829439	-11.5092801680879	-10.9477522720524	-9.33935516664555	-10.6711872047918	-11.1857603776216
22010-0003	-8.50928016808786	-8.80884044994677	-8.50928016808786	-8.04984854945056	-8.60238957247934	-8.9243176673667	-8.39803107397315	-7.25540134318308	-9.33935516664555	-8.50928016808786	-10.1873520732005	-8.33935516664555	-8.9243176673667	-3.1239504895554	-8.60238957247934	-3.29875771237746	-8.9436869515971	-8.9243176673667	-8.80884044994677	-8.80884044994677	-3.45893473726821	-3.21792663776441	-3.79596972454578	-8.60238957247934	-8.42181732683752	-8.9243176673667	-3.45893473726821	-4.05211774479433	-3.41057171570681	-8.80884044994677	-9.50928016808786	-9.33935516664555	-4.15460070239558	-11.5092801680879	-3.85227716544773	-9.33935516664555	-3.83799293944149	-3.91836635590551
22010-0004	-8.50928016808786	-8.80884044994677	-8.50928016808786	-8.04984854945056	-8.60238957247934	-8.9243176673667	-8.39803107397315	-8.60238957247934	-9.33935516664555	-8.50928016808786	-10.1873520732005	-8.33935516664555	-8.9243176673667	-11.8349450230622	-8.60238957247934	-9.90565245842884	-8.9436869515971	-8.9243176673667	-1.5405683813627	-8.80884044994677	-0.60768257722124	-10.3883248634384	-9.90565245842884	-8.60238957247934	-8.42181732683752	-8.9243176673667	-10.0694102766992	-9.91027756663373	-10.7362481668587	-8.80884044994677	-9.50928016808786	-9.33935516664555	-10.672117829439	-11.5092801680879	-10.9477522720524	-9.33935516664555	-10.6711872047918	-11.1857603776216
22010-0005	-8.50928016808786	-8.80884044994677	-8.50928016808786	-8.04984854945056	-8.60238957247934	-8.9243176673667	-8.39803107397315	-8.60238957247934	-9.33935516664555	-8.50928016808786	-10.1873520732005	-8.33935516664555	-8.9243176673667	-11.8349450230622	-8.60238957247934	-9.90565245842884	-8.9436869515971	-8.9243176673667	-8.80884044994677	-8.80884044994677	-10.4952400673549	-10.3883248634384	-9.90565245842884	-8.60238957247934	-8.42181732683752	-8.9243176673667	-10.0694102766992	-9.91027756663373	-10.7362481668587	-8.80884044994677	-9.50928016808786	-9.33935516664555	-10.672117829439	-11.5092801680879	-10.9477522720524	-9.33935516664555	-10.6711872047918	-11.1857603776216
22010-0006	-5.50445313310931	-5.22881869049588	-5.70798652719444	-5.89439965142532	-5.84549005094437	-5.46697842769065	-5.46697842769065	-5.75238064655289	-7.16741814583174	-5.54292728092394	-5.84549005094437	-5.16741814583174	-6.22881869049588	-3.99749314438943	-7.2929490279156	-3.90689059560852	-6.66491780530255	-6.75238064655289	-6.22881869049588	-6.43045255166553	-4.01091366015175	-3.76369595978073	-3.97102093302823	-6.94502572449529	-6.16741814583174	-7.43045255166553	-4.39482864193481	-4.91949063238815	-4.0799553045814	-7.58245564511058	-7.2929490279156	-6.43045255166553	-4.75238064655289	-6.94502572449529	-4.64385618977472	-6.94502572449529	-4.3261158918508	-4.86973759719105
22010-0007	-8.50928016808786	-8.80884044994677	-8.50928016808786	-8.04984854945056	-8.60238957247934	-8.9243176673667	-8.39803107397315	-8.60238957247934	-9.33935516664555	-8.50928016808786	-10.1873520732005	-8.33935516664555	-8.9243176673667	-11.8349450230622	-8.60238957247934	-9.90565245842884	-8.9436869515971	-8.9243176673667	-8.80884044994677	-8.80884044994677	-10.4952400673549	-10.3883248634384	-9.90565245842884	-8.60238957247934	-8.42181732683752	-8.9243176673667	-10.0694102766992	-9.91027756663373	-10.7362481668587	-8.80884044994677	-9.50928016808786	-9.33935516664555	-10.672117829439	-11.5092801680879	-10.9477522720524	-9.33935516664555	-10.6711872047918	-11.1857603776216
22010-0008	-4.62058641045188	-5.5274770060604	-5.20554891117303	-8.04984854945056	-5.5274770060604	-4.72012208400279	-4.94251450533924	-5.72012208400279	-9.33935516664555	-8.50928016808786	-5.20554891117303	-3.57328069567352	-5.0680453874231	-3.88362081628567	-4.62058641045188	-3.94251450533924	-4.35755200461808	-5.35755200461808	-8.80884044994677	-4.8270372879193	-4.13515958328164	-3.88362081628567	-4.35755200461808	-8.60238957247934	-8.42181732683752	-5.94251450533924	-3.88362081628567	-9.91027756663373	-4.44001416481006	-6.20554891117303	-9.50928016808786	-4.20554891117303	-10.672117829439	-7.5274770060604	-10.9477522720524	-9.33935516664555	-10.6711872047918	-11.1857603776216
22010-0009	-8.50928016808786	-8.80884044994677	-8.50928016808786	-8.04984854945056	-8.60238957247934	-8.9243176673667	-8.39803107397315	-8.60238957247934	-9.33935516664555	-8.50928016808786	-10.1873520732005	-8.33935516664555	-8.9243176673667	-11.8349450230622	-8.60238957247934	-9.90565245842884	-8.9436869515971	-8.9243176673667	-8.80884044994677	-8.80884044994677	0	-10.3883248634384	-9.90565245842884	-8.60238957247934	-8.42181732683752	-8.9243176673667	-10.0694102766992	-9.91027756663373	-10.7362481668587	-8.80884044994677	-9.50928016808786	-9.33935516664555	-10.672117829439	-11.5092801680879	-10.9477522720524	-9.33935516664555	-10.6711872047918	-11.1857603776216
22010-0010	-8.50928016808786	-8.80884044994677	-8.50928016808786	-8.04984854945056	-8.60238957247934	-8.9243176673667	-8.39803107397315	-8.60238957247934	-9.33935516664555	-8.50928016808786	-10.1873520732005	-8.33935516664555	-8.9243176673667	-11.8349450230622	-8.60238957247934	-9.90565245842884	-8.9436869515971	-8.9243176673667	-8.80884044994677	-8.80884044994677	-10.4952400673549	-10.3883248634384	-9.90565245842884	-8.60238957247934	-8.42181732683752	-8.9243176673667	-10.0694102766992	-9.91027756663373	-10.7362481668587	-8.80884044994677	-9.50928016808786	-9.33935516664555	-10.672117829439	-11.5092801680879	-10.9477522720524	-9.33935516664555	-10.6711872047918	-11.1857603776216
