feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV1	CycleDaySampling	CycleDaySampling	0.599820142741074	0.408580645123254	25	16	0.155632219381378	0.39629904479031
ASV2	CycleDaySampling	CycleDaySampling	0.651606685481504	0.417593004201262	25	16	0.132323763639852	0.39629904479031
ASV3	CycleDaySampling	CycleDaySampling	0.580534309240102	0.384884797772145	25	16	0.145084217285556	0.39629904479031
ASV5	CycleDaySampling	CycleDaySampling	0.552836509072657	0.372378001874028	25	16	0.151224056371429	0.39629904479031
ASV6	CycleDaySampling	CycleDaySampling	0.626802127084924	0.40901273278391	25	16	0.13904581661894	0.39629904479031
ASV7	CycleDaySampling	CycleDaySampling	0.495899288856415	0.338726537575128	25	16	0.156725747096966	0.39629904479031
ASV8	CycleDaySampling	CycleDaySampling	0.517217984484178	0.371288054242265	25	16	0.176927873805669	0.39629904479031
ASV10	CycleDaySampling	CycleDaySampling	0.441475289179825	0.364223710682113	25	17	0.237779426874186	0.39629904479031
ASV11	CycleDaySampling	CycleDaySampling	0.700194644129025	0.522620148124784	25	16	0.193405891501615	0.39629904479031
ASV12	CycleDaySampling	CycleDaySampling	0.500147194730108	0.339092445921513	25	16	0.153782192989735	0.39629904479031
ASV13	CycleDaySampling	CycleDaySampling	0.504040915819082	0.391606953432838	25	16	0.210859251775114	0.39629904479031
ASV15	CycleDaySampling	CycleDaySampling	0.43414610412414	0.337771194778338	25	17	0.211470798024219	0.39629904479031
ASV17	CycleDaySampling	CycleDaySampling	0.427917660057574	0.332823588940649	25	16	0.211335857170723	0.39629904479031
ASV18	CycleDaySampling	CycleDaySampling	0.524069636097019	0.367385144886137	25	17	0.167162332908275	0.39629904479031
ASV20	CycleDaySampling	CycleDaySampling	0.463298647914709	0.370623729851645	25	16	0.223850877256028	0.39629904479031
ASV19	CycleDaySampling	CycleDaySampling	0.384235861329991	0.362358496321701	25	17	0.299982916006191	0.468723306259674
ASV9	CycleDaySampling	CycleDaySampling	0.413787595244189	0.461764638136958	25	17	0.379482492456899	0.558062488907205
ASV4	CycleDaySampling	CycleDaySampling	0.294079508493952	0.398750940890238	25	18	0.468275156107805	0.65038216126084
ASV14	CycleDaySampling	CycleDaySampling	0.00715914102933521	0.806870696359339	25	14	0.992997195829407	0.992997195829407
ASV16	CycleDaySampling	CycleDaySampling	-0.0639262691301405	0.629867745585499	25	11	0.920039848222349	0.992997195829407
ASV21	CycleDaySampling	CycleDaySampling	-0.0359660883315818	0.698006085843819	25	11	0.959350569810668	0.992997195829407
ASV22	CycleDaySampling	CycleDaySampling	-0.00927578672756699	0.670790388357018	25	11	0.989086339632467	0.992997195829407
ASV23	CycleDaySampling	CycleDaySampling	0.0332007078653161	0.616363925193612	25	11	0.957507528754324	0.992997195829407
ASV27	CycleDaySampling	CycleDaySampling	-0.0478049998992238	0.624310194570389	25	12	0.93962582534256	0.992997195829407
ASV32	CycleDaySampling	CycleDaySampling	-0.0175714362377867	0.663578455018183	25	11	0.97910304630361	0.992997195829407
