feature	ASV1	ASV2	ASV4	ASV7	ASV8	ASV11	ASV14	ASV16	ASV79
22010-0026	0	0.0236220472440945	0	0	0.976377952755905	0	0	0	0
22010-0027	0	0.391791044776119	0	0.166044776119403	0	0.281716417910448	0.16044776119403	0	0
22010-0028	0.97232716282584	0.00585568568190404	0	0.00689459765772573	0	0.000850018889308651	0	0.00727238383075179	0.00680015111446921
22010-0029	0.188679245283019	0.352641509433962	0	0.15377358490566	0	0.296037735849057	0.00207547169811321	0.00471698113207547	0.00207547169811321
22010-0030	0.0542869452822059	0.754559816171191	0.044808272296424	0.042223179663938	0	0	0.104121786586242	0	0
22010-0031	0.205062609398142	0.0099636461559176	0	0.0218123064494412	0.00350074054126835	0.00982900228894574	0.00282752120640905	0.694627709707823	0.0523764642520533
22010-0032	0.895953757225434	0.00113855316167455	0	0.00280259239796812	0	0.00166403923629357	0	0.0603433175687511	0.0380977404098791
22010-0033	0.999718864211414	0	0	0	0	0.000281135788585887	0	0	0
22010-0034	0.625606331376053	0	0.0542507020679091	0.00638243553740107	0.313377584886393	0	0.000382946132244064	0	0
22010-0035	0.00321451532252304	0.996214015286806	0	0	0	0.000571469390670762	0	0	0
22010-0036	0	0.645154596389292	0	0	0	0	0	0.354845403610708	0
22010-0037	0.961032122169563	0.0354133754607688	0	0.00157977883096367	0.000833772160786379	0.0011409513779182	0	0	0
22010-0038	0.976997006459745	0.00342681581849693	0	0.00228454387899795	0	0.00149677012761935	0	0.0112257759571451	0.0045690877579959
22010-0039	0.0021505376344086	0.996953405017921	0	0	0.000896057347670251	0	0	0	0
22010-0040	0.00181998676373263	0.000661813368630046	0	0.0028127068166777	0.993547319655857	0.000661813368630046	0.000496360026472535	0	0
22010-0041	0.00297862399252424	0.993925943230931	0	0.00116808784020558	0.00192734493633921	0	0	0	0
22010-0042	0.961362189688097	0.00706556333545512	0	0	0.00369191597708466	0.000827498408656906	0	0.0196053469127944	0.00744748567791216
22010-0043	0.0655836341756919	0.136883273164862	0	0.0102286401925391	0.777075812274368	0.0102286401925391	0	0	0
22010-0044	0.76406054714623	0.165671434522983	0	0	0.00111095681155395	0.000277739202888488	0	0.046104707679489	0.022774614636856
22010-0045	0.998925143953935	0.00107485604606526	0	0	0	0	0	0	0
22010-0046	0.902813809618839	0.0393135102773897	0	0	0.00927958491319098	0.000898024346437837	0	0.0352225104769507	0.0124725603671922
22010-0047	0	0	0.328987098545155	0.0807027175404886	0.00754872357946747	0.228932198737304	0.353829261597584	0	0
22010-0048	0.0343748043328533	0	0.408553002316699	0.112078141631707	0.0281134556383445	0.0884728570534093	0.328094671592261	0	0.00031306743472544
22010-0049	0.744167840926883	0	0.133395960544857	0.00438390480663849	0.00579301706591514	0.000939408172851104	0.013308282448724	0.0618443713793643	0.0361672146547675
22010-0050	0.844083202237371	0.00148575423876945	0	0	0	0.000349589232651634	0.00288411116937598	0.097535395909806	0.0536619472120259
