feature	ASV1	ASV2	ASV4	ASV7	ASV8	ASV11	ASV14	ASV16	ASV79
22010-0026	-10.1018563265275	-5.40372218605101	-5.48009108920339	-10.7416355156976	-0.0344883763852907	-12.8139815516147	-12.3505709122296	-8.7279204545632	-12.6412389324065
22010-0027	-10.1018563265275	-1.35184367279165	-5.48009108920339	-2.59035575949137	-11.2280591774271	-1.82768445113269	-2.63982443575567	-8.7279204545632	-12.6412389324065
22010-0028	-0.0404862699757822	-7.41594616910852	-5.48009108920339	-7.18031792061538	-11.2280591774271	-10.2002174780531	-12.3505709122296	-7.1033559388005	-7.20021747805309
22010-0029	-2.40599235967584	-1.50372579059277	-5.48009108920339	-2.70112039521948	-11.2280591774271	-1.75614700736983	-8.91234502570063	-7.7279204545632	-8.91234502570063
22010-0030	-4.20325088384457	-0.406292822932007	-4.48009108920339	-4.56582096322927	-11.2280591774271	-12.8139815516147	-3.26365612316334	-8.7279204545632	-12.6412389324065
22010-0031	-2.28586363648508	-6.64911049734342	-5.48009108920339	-5.51871386008774	-8.15812414483128	-6.66873930409235	-8.46624644019361	-0.525688131819695	-4.25493751798618
22010-0032	-0.158503822362487	-9.77858262885409	-5.48009108920339	-8.47902234699518	-11.2280591774271	-9.23109483355159	-12.3505709122296	-4.05066217429089	-4.71415075625909
22010-0033	-0.000405650232080407	-11.5612879451648	-5.48009108920339	-10.7416355156976	-11.2280591774271	-11.7964452590618	-12.3505709122296	-8.7279204545632	-12.6412389324065
22010-0034	-0.67667298154099	-11.5612879451648	-4.20421438192568	-7.29167722317602	-1.67402610374869	-12.8139815516147	-11.3505709122296	-8.7279204545632	-12.6412389324065
22010-0035	-8.28118305706372	-0.00547238710659519	-5.48009108920339	-10.7416355156976	-11.2280591774271	-10.7730361533934	-12.3505709122296	-8.7279204545632	-12.6412389324065
22010-0036	-10.1018563265275	-0.632283184398925	-5.48009108920339	-10.7416355156976	-11.2280591774271	-12.8139815516147	-12.3505709122296	-1.49473747596673	-12.6412389324065
22010-0037	-0.0573434414947556	-4.81956182759287	-5.48009108920339	-9.30606168942834	-10.2280591774271	-9.77554697272956	-12.3505709122296	-8.7279204545632	-12.6412389324065
22010-0038	-0.0335739531361759	-8.18891563143405	-5.48009108920339	-8.77387813215521	-11.2280591774271	-9.38393161383919	-12.3505709122296	-6.47704101823068	-7.77387813215521
22010-0039	-8.8610869059954	-0.00440201646293719	-5.48009108920339	-10.7416355156976	-10.1241213118292	-12.8139815516147	-12.3505709122296	-8.7279204545632	-12.6412389324065
22010-0040	-9.10185632652753	-10.5612879451648	-5.48009108920339	-8.47382510391449	-0.00933941457183278	-10.5612879451648	-10.9763254444437	-8.7279204545632	-12.6412389324065
22010-0041	-8.3911382686135	-0.00878973335505246	-5.48009108920339	-9.74163551569763	-9.01916949122654	-12.8139815516147	-12.3505709122296	-8.7279204545632	-12.6412389324065
22010-0042	-0.0568480313971608	-7.14497969383145	-5.48009108920339	-10.7416355156976	-8.08141456505399	-10.2389558420405	-12.3505709122296	-5.67260901948666	-7.06903084059815
22010-0043	-3.93052034199342	-2.86898193168429	-5.48009108920339	-6.61124182552	-0.363872738652344	-6.61124182552	-12.3505709122296	-8.7279204545632	-12.6412389324065
22010-0044	-0.388241127298467	-2.59360322391945	-5.48009108920339	-10.7416355156976	-9.81398155161468	-11.8139815516147	-12.3505709122296	-4.43894212026775	-5.45642954699659
22010-0045	-0.00155152346897377	-9.86164082999563	-5.48009108920339	-10.7416355156976	-11.2280591774271	-12.8139815516147	-12.3505709122296	-8.7279204545632	-12.6412389324065
22010-0046	-0.147499608439757	-4.6688310029732	-5.48009108920339	-10.7416355156976	-6.75172401132155	-10.1209578209873	-12.3505709122296	-4.8273584491584	-6.32509853776749
22010-0047	-10.1018563265275	-11.5612879451648	-1.60389708609365	-3.63123893490642	-7.04955156621812	-2.12700770629812	-1.49887473138113	-8.7279204545632	-12.6412389324065
22010-0048	-4.86250468828863	-11.5612879451648	-1.29140484094922	-3.15742315514221	-5.15259539255268	-3.49862127695989	-1.60781593086902	-8.7279204545632	-11.6412389324065
22010-0049	-0.426300048871114	-11.5612879451648	-2.90621311494761	-7.83356781311585	-7.4314693695445	-10.0559602344523	-6.23153179903575	-4.01521389210898	-4.78917369375739
22010-0050	-0.244542880861257	-9.39458878778357	-5.48009108920339	-10.7416355156976	-11.2280591774271	-11.4820516290339	-8.43765750967546	-3.35793031720472	-4.21995678366373
