feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV1	DurationMenopause	DurationMenopause	-0.184093131049313	0.735676860435647	25	13	0.804626216695099	0.973237095338128
ASV2	DurationMenopause	DurationMenopause	-0.350982148845308	0.727461388711675	25	17	0.634028461858061	0.973237095338128
ASV4	DurationMenopause	DurationMenopause	0.420874348475804	0.726862187921942	25	11	0.568197631608261	0.973237095338128
ASV7	DurationMenopause	DurationMenopause	0.362170326261868	1.01577974388742	25	14	0.724683199824464	0.973237095338128
ASV8	DurationMenopause	DurationMenopause	0.398915116136012	0.690507184196977	25	16	0.569070980602432	0.973237095338128
ASV9	DurationMenopause	DurationMenopause	-0.150557550495624	0.753927735011164	25	13	0.843472149293044	0.973237095338128
ASV10	DurationMenopause	DurationMenopause	1.19180432298783	0.863000353876452	25	14	0.180550838139755	0.973237095338128
ASV11	DurationMenopause	DurationMenopause	-0.246866072555503	0.85670020792979	25	18	0.77580566216534	0.973237095338128
ASV13	DurationMenopause	DurationMenopause	0.553271057171764	0.635749225880388	25	9	0.393147429186123	0.973237095338128
ASV21	DurationMenopause	DurationMenopause	-0.882132887334948	0.617214656921687	25	15	0.166384698751945	0.973237095338128
ASV38	DurationMenopause	DurationMenopause	0.315486222235441	0.655974286673461	25	11	0.63510061517221	0.973237095338128
ASV60	DurationMenopause	DurationMenopause	0.274411547240384	0.631362434544904	25	6	0.667878785381653	0.973237095338128
ASV94	DurationMenopause	DurationMenopause	0.366508258618106	0.520891268815169	25	5	0.488733501459625	0.973237095338128
ASV12	DurationMenopause	DurationMenopause	-0.0169934342226722	0.723508906870088	25	24	0.981463976939144	0.981463976939144
ASV24	DurationMenopause	DurationMenopause	-0.0229266756035158	0.678833734612799	25	19	0.973349063306086	0.981463976939144
