feature	ASV1	ASV2	ASV4	ASV7	ASV8	ASV9	ASV10	ASV11	ASV12	ASV13	ASV21	ASV24	ASV38	ASV60	ASV94
22010-0001	0	0	0	0.805228088159918	0.00529642918161627	0	0	0	0.00871348026652999	0	0	0.00290449342217666	0	0	0.177857508969759
22010-0002	0	0	0	0	0	0.0124416796267496	0	0	0.12597200622084	0	0.788491446345257	0.073094867807154	0	0	0
22010-0003	0.00277447483154974	0.776720834984806	0	0.00105694279297133	0.207425023120624	0	0	0.000396353547364249	0.00290659268067116	0.00502047826661382	0.00277447483154974	0.000924824943849914	0	0	0
22010-0004	0.00642260757867694	0.0115606936416185	0	0.458574181117534	0	0.0346820809248555	0.0173410404624277	0.11689145793192	0.150931278098908	0	0	0.203596660244059	0	0	0
22010-0005	0	0.00254452926208651	0	0	0	0.254961832061069	0	0	0.524173027989822	0	0.00152671755725191	0.216793893129771	0	0	0
22010-0006	0.192339716902581	0.566472384124341	0.00444074382459062	0	0.0474604496253122	0	0.171523730224813	0	0.00888148764918124	0	0	0.00888148764918124	0	0	0
22010-0007	0	0	0	0	0.167282546901649	0.00198976691301876	0.107873791927231	0.69869243888573	0.00284252416145537	0	0.019044911881751	0.0022740193291643	0	0	0
22010-0008	0.0164885069517222	0.0224970306714176	0.0103402501222665	0.015999441067561	0.00754558792705932	0	0.0174666387200447	0.0294138196045553	0.0241039614336617	0.85139383776986	0.0039823936281702	0	0.000768532103681968	0	0
22010-0009	0.00377643504531722	0.00604229607250755	0.00604229607250755	0	0	0	0	0.00793051359516616	0.135196374622357	0	0.836858006042296	0.00415407854984894	0	0	0
22010-0010	0	0	0.238038844149692	0.347820937944102	0.0928469919469446	0	0	0.288252013263856	0	0.0319753671245855	0	0.00106584557081952	0	0	0
22010-0011	0	0.00519673348181143	0.0239049740163326	0.137490720118782	0.00831477357089829	0.642613214550854	0.000593912397921307	0.0497401633259094	0.000296956198960653	0.124573125463994	0	0	0.00638455827765404	0.00089086859688196	0
22010-0012	0.0267632850241546	0.0510144927536232	0.258454106280193	0.404927536231884	0.0360386473429952	0	0.00531400966183575	0.174975845410628	0.00502415458937198	0.00531400966183575	0.0107246376811594	0.00483091787439613	0.0145893719806763	0.000772946859903382	0.00125603864734299
22010-0013	0.0219298245614035	0.0409356725146199	0.225146198830409	0.327485380116959	0.0219298245614035	0.0599415204678363	0.0847953216374269	0.0994152046783626	0.0292397660818713	0	0.0233918128654971	0.0570175438596491	0.0087719298245614	0	0
22010-0014	0.0266725611553198	0.027114647804303	0.091806660772178	0.139257294429708	0.0443560271146478	0.049218980253463	0	0.0701444149720012	0.231948128499853	0.227821986442676	0.0103153551429413	0.0723548482169172	0.00898909519599175	0	0
22010-0015	0	0.0421052631578947	0	0.087719298245614	0.0280701754385965	0	0	0.0140350877192982	0.656140350877193	0	0.0210526315789474	0.150877192982456	0	0	0
22010-0016	0	0	0	0	0	0.0829087540528022	0.00277906438165818	0	0.00185270958777212	0.00463177396943029	0	0	0	0.76146364057434	0.146364057433997
22010-0017	0	0.320292682926829	0.211317073170732	0	0.00136585365853659	0.0698536585365854	0.0502439024390244	0.00292682926829268	0.292	0	0.00585365853658537	0.0435121951219512	0.00263414634146341	0	0
22010-0018	0	0	0	0	0.00114220445459737	0.0162764134780126	0	0	0.00742432895488292	0	0.0345516847515705	0	0.650770988006853	0.289834380354083	0
22010-0019	0.000798658254133056	0.642600431275457	0	0.00127785320661289	0	0	0.00591007108058462	0.00103825573037297	0.244149828288475	0	0.0850571040651705	0.0181295423688204	0.00103825573037297	0	0
22010-0020	0	0	0.00114248408682879	0	0.740982536314673	0	0.00293781622327403	0.000652848049616452	0.00114248408682879	0	0	0.00293781622327403	0.188836298351559	0.000979272074424678	0.0603884445895218
22010-0021	0.998651321704729	0	0	0.000359647545405503	0	0	0.000179823772702751	0.000359647545405503	0.000449559431756878	0	0	0	0	0	0
22010-0022	0.00837354527391428	0.599276185069543	0.0651433437411297	0.0979279023559466	0.0391001986942946	0.00397388589270508	0.00149020720976441	0.0458416122622765	0.00787680953732614	0	0.0202242407039455	0	0.0670593244393982	0.0389582741981266	0.00475447062162929
22010-0023	0.202643171806167	0.0108437817688919	0	0.018637749915283	0.00779396814639105	0	0.605557438156557	0.00948830904778041	0.0698068451372416	0.00169434090138936	0.00677736360555744	0.0637072178922399	0.00304981362250085	0	0
22010-0024	0.0386352715040846	0.0356559346468044	0	0	0	0.5902931283037	0	0.0315233061028352	0.0510331571359923	0.124939932724652	0	0.127919269581932	0	0	0
22010-0025	0	0.990050667894979	0	0	0	0.00119760479041916	0	0	0.00672501151543068	0	0	0.00202671579917089	0	0	0
