feature	ASV1	ASV2	ASV4	ASV7	ASV8	ASV9	ASV10	ASV11	ASV12	ASV13	ASV21	ASV24	ASV38	ASV60	ASV94
22010-0001	-11.2901340735643	-9.61838550225861	-10.7736102139197	-0.31253059731483	-7.56076425294331	-10.7056323873614	-13.4411286218047	-12.4411286218047	-6.84253522135869	-10.2050601105446	-10.3553510964248	-8.42749772207984	-11.3456068530682	-11.337343147274	-2.49120621003077
22010-0002	-11.2901340735643	-9.61838550225861	-10.7736102139197	-12.4411286218047	-10.7739633684336	-6.32867492732795	-13.4411286218047	-12.4411286218047	-2.98882492444332	-10.2050601105446	-0.342832990324607	-3.77408607565031	-11.3456068530682	-11.337343147274	-10.636903429133
22010-0003	-8.4935695689187	-0.364531929139198	-10.7736102139197	-9.88588699169746	-2.26933814791847	-10.7056323873614	-13.4411286218047	-11.3009244909763	-8.42645537306016	-7.63795947825387	-8.4935695689187	-10.0785320696399	-11.3456068530682	-11.337343147274	-10.636903429133
22010-0004	-7.28262513419168	-6.43462822763672	-10.7736102139197	-1.12477296504994	-10.7739633684336	-4.84966572691557	-5.84966572691557	-3.09675858888034	-2.72803628251404	-10.2050601105446	-10.3553510964248	-2.29621419893963	-11.3456068530682	-11.337343147274	-10.636903429133
22010-0005	-11.2901340735643	-8.61838550225861	-10.7736102139197	-12.4411286218047	-10.7739633684336	-1.97164680395076	-13.4411286218047	-12.4411286218047	-0.931884975075388	-10.2050601105446	-9.35535109642481	-2.20560397692013	-11.3456068530682	-11.337343147274	-10.636903429133
22010-0006	-2.37827139428958	-0.819922469394071	-7.81498293642679	-12.4411286218047	-4.39713042154089	-10.7056323873614	-2.54351990852242	-12.4411286218047	-6.81498293642679	-10.2050601105446	-10.3553510964248	-6.81498293642679	-11.3456068530682	-11.337343147274	-10.636903429133
22010-0007	-11.2901340735643	-9.61838550225861	-10.7736102139197	-12.4411286218047	-2.57964116243352	-8.97318484541436	-3.2125836920565	-0.517270567099299	-8.4586116725846	-10.2050601105446	-5.71445057701419	-8.78053976747196	-11.3456068530682	-11.337343147274	-10.636903429133
22010-0008	-5.92239542234362	-5.47412159359084	-6.59558510607651	-5.96583468360852	-7.05015096954199	-10.7056323873614	-5.83925418704337	-5.08736204863906	-5.37458592003993	-0.232101446688152	-7.97214845754072	-11.0785320696399	-10.3456068530682	-11.337343147274	-10.636903429133
22010-0009	-8.04875931191986	-7.37068740680722	-7.37068740680722	-12.4411286218047	-10.7739633684336	-10.7056323873614	-13.4411286218047	-6.97836998402846	-2.88687162954296	-10.2050601105446	-0.256945240758029	-7.91125578816992	-11.3456068530682	-11.337343147274	-10.636903429133
22010-0010	-11.2901340735643	-9.61838550225861	-2.07073107728087	-1.5235833130223	-3.42900101923195	-10.7056323873614	-13.4411286218047	-1.79459741063343	-12.7174622303497	-4.96689526629633	-10.3553510964248	-9.87378586190484	-11.3456068530682	-11.337343147274	-10.636903429133
