feature	ASV2	ASV7	ASV12	ASV18
22010-0001	0.37459767269126	0.584674424362466	0.00903689031938599	0.0316910126268878
22010-0002	0.00215827338129496	0.122541966426858	0.283693045563549	0.591606714628297
22010-0003	0.976058723884811	0.00383963862224732	0.00813099943534726	0.0119706380575946
22010-0004	0.00495399858457183	0.128803963198868	0.436305732484076	0.429936305732484
22010-0005	0.00285400658616905	0.000658616904500549	0.411196487376509	0.585290889132821
22010-0006	0.587777777777778	0.00296296296296296	0.0357407407407407	0.373518518518519
22010-0007	0.253418803418803	0.0316239316239316	0.0316239316239316	0.683333333333333
22010-0008	0.20053081686818	0.134178708345621	0.416691241521675	0.248599233264524
22010-0009	0.0102040816326531	0.7990851513019	0.140042223786066	0.0506685432793807
22010-0010	0.178900821225521	0.810486418193304	0.00176879343019583	0.00884396715097916
22010-0011	0.0695704779189353	0.693889897156685	0.044162129461585	0.192377495462795
22010-0012	0.157972079353417	0.757951086386061	0.0592001679437388	0.0248766663167839
22010-0013	0.0217858238723535	0.125191776618595	0.45044492175514	0.402577477753912
22010-0014	0.0641231706285424	0.328567803062347	0.351493105490229	0.255815920818882
22010-0015	0.0223880597014925	0.0405117270788913	0.412579957356077	0.524520255863539
22010-0016	0.779523435454307	0.215763288819063	0.00209478921183556	0.00261848651479445
22010-0017	0.229471084585306	0.156685188996364	0.535844138025657	0.0779995883926734
22010-0018	0.000941841299740994	0.809277136802449	0.00612196844831646	0.183659053449494
22010-0019	0.585294972391747	0.0794827085149666	0.310011624527754	0.0252106945655333
22010-0020	0.821541577015568	0.148082521199848	0.0265789140615112	0.00379698772307303
22010-0021	0.998741459906508	0.000359582883854729	0.000449478604818411	0.000449478604818411
22010-0022	0.659283432856548	0.283432856547702	0.0495764477155951	0.00770726288015553
22010-0023	0.0923229181394034	0.0220557047928743	0.30764880531599	0.577972571751732
22010-0024	0.261944378416924	0.0753506061326361	0.624197765628714	0.0385072498217257
22010-0025	0.976922399365806	0	0.0205232097243019	0.00255439090989166
