feature	ASV16	ASV82	ASV120	ASV271
22010-0001	-2.32090635614714	-0.428214450872425	-5.9872799824833	-4.61126437203364
22010-0002	-8.67830669965151	-2.8065725494566	-1.62906318063166	-0.91233001882623
22010-0003	-0.0479398316133067	-7.78572490608606	-6.24515652472336	-6.06193470066759
22010-0004	-7.20181761666792	-2.80950019388916	-1.1343832559114	-1.33995527660877
22010-0005	-11.15650448568	-9.80049550046681	-1.08367603913686	-0.923978553901812
22010-0006	-0.679057016138206	-7.94682934097866	-4.52942093723707	-1.60791706646042
22010-0007	-1.86919181316241	-4.46364576286086	-4.48523262506901	-0.652215428373138
22010-0008	-2.12070248586614	-2.64895059559297	-1.47358350908241	-1.99687389901328
22010-0009	-6.44073077295962	-0.323867015268717	-2.82405941251112	-4.37034144506822
22010-0010	-2.45146090752872	-0.319543336939233	-9.20634840969219	-6.14221807227247
22010-0011	-6.58033105198951	-0.282180340385274	-4.09094621125058	-3.20395517307977
22010-0012	-2.82861048209765	-0.332073981662511	-4.59289668226337	-5.41732511767992
22010-0013	-5.61918332069452	-2.66296501272243	-1.01604080390834	-1.61136381623522
22010-0014	-3.767381311853	-1.48272718480989	-1.48318774188991	-2.24430719776489
22010-0015	-5.89575003800332	-3.78883483408681	-1.4262647547021	-0.892286182699747
22010-0016	-0.520964502432927	-1.76289931592006	-9.47370574961941	-7.15177765473205
22010-0017	-2.05883413384949	-2.54039513668631	-0.940267999972273	-3.90059138576846
22010-0018	-10.15650448568	-0.291286739236393	-6.88348599127358	-2.52714786560038
22010-0019	-0.745861163520739	-3.58085672818439	-1.74423970221953	-5.53107916715934
22010-0020	-0.280898715601574	-2.68237001974244	-5.85956302164879	-7.99706654539873
22010-0021	-0.00234871039402708	-10.2638560195961	-10.9419279247087	-11.6788935188749
22010-0022	-0.591444172301656	-1.8317980064216	-4.40108336930594	-6.95198403395347
22010-0023	-3.25533229466534	-5.52382113059124	-1.63936044882434	-0.855844579904007
22010-0024	-2.00801252005138	-4.14266204674617	-0.621146950868238	-4.48631491278824
22010-0025	-0.0418451018197376	-11.2638560195961	-5.47277029276804	-7.36406403332554
