feature	ASV14	ASV54	ASV66	ASV87	ASV205	ASV568
22010-0051	0.207959641255605	0.167600896860987	0.56530269058296	0	0.023542600896861	0.0355941704035874
22010-0052	0.308796362086116	0.0561318743782862	0.534460707687935	0	0.0439107574250391	0.0567002984226233
22010-0053	0.150897997765747	0.0397868866546361	0.724413508636247	0.0494972931167827	0.0134055168857953	0.0219987969407923
22010-0054	0.114756914619481	0.356811544408177	0.497165435492184	0	0.0269713107713451	0.00429479470881292
22010-0055	0.015556441962505	0.252094136418029	0.0358994814519346	0.663741523733546	0.0163542082169924	0.0163542082169924
22010-0056	0.0202051125057401	0.223633858870351	0.109597428440227	0.502372570029083	0.0410225011480178	0.103168529006582
22010-0057	0.0043046098458167	0.0230883619002896	0.0168271112154653	0.952023166627534	0	0.00375675041089458
22010-0058	0.00159553250897487	0.740227363382529	0.00967291583566015	0.0968288791384124	0.108994814519346	0.0426804946150778
22010-0059	0.102862621558691	0.168059169976716	0.719627448294754	0.000547870154773319	0.00342418846733324	0.00547870154773319
22010-0060	0.0190533980582524	0.0658980582524272	0.562742718446602	0.00266990291262136	0.0152912621359223	0.334344660194175
22010-0061	0.00225779967159277	0.716954022988506	0.000821018062397373	0	0.241789819376026	0.0381773399014778
22010-0062	0	0.203599723098223	0	0.701407584031998	0.0337666333358972	0.061226059533882
22010-0063	0	0.513212795549374	0.00417246175243394	0.00598052851182198	0.176912378303199	0.299721835883171
22010-0064	0	0.679815910585141	0	0.0115055884286654	0.189513477975016	0.119165023011177
22010-0065	0	0.504777655273796	0	0.149117971334068	0.257625872840867	0.0884785005512679
22010-0066	0	0.59639941385807	0	0.133975298304375	0.115763031191124	0.153862256646431
22010-0067	0.493576437587658	0.361963534361851	0	0	0.0716970546984572	0.0727629733520337
22010-0068	0.348692403486924	0.419987546699875	0.0849937733499377	0.0211706102117061	0.0983810709838107	0.026774595267746
22010-0069	0	0.838826466916354	0.0343320848938826	0.00287141073657928	0.0791510611735331	0.0448189762796504
22010-0070	0.00128617363344051	0.87395498392283	0	0.0189710610932476	0.0903536977491962	0.0154340836012862
22010-0071	0.00415457662885782	0.502703772091796	0	0.111975731996835	0.356106568187813	0.025059351094698
22010-0072	0.00375507237599176	0.505481194355278	0.110835200775241	0.111138029192659	0.18000121131367	0.0887892919871601
22010-0073	0	0.574197648554179	0.00603749602796314	0.0600571973307912	0.0784874483635208	0.281220209723546
22010-0074	0	0.591594267468627	0.232345734016485	0.0670527957228781	0.025766688943343	0.0832405138486671
22010-0075	0.256055363321799	0.458477508650519	0.0116782006920415	0.0408737024221453	0.161115916955017	0.0717993079584775
