feature	ASV2	ASV3	ASV4	ASV6	ASV17	ASV20	ASV24	ASV32	ASV70	ASV105
22010-0051	0.144083830592345	0.0992577499636152	0.31218163295008	0	0.0106243632659002	0.0401688254984718	0.00756803958666861	0.0195022558579537	0.366613302284966	0
22010-0052	0.237002914355551	0.0398608630252891	0.424931841684686	0	0.0302716931465639	0.0360063927799192	0.0483218952712231	0.0481338723324246	0.0607314092319263	0.0747391181724171
22010-0053	0.147853637323725	0.0340436106106728	0.694539355159346	0.04006957818227	0.00981549357023048	0	0.00546685717835622	0.0180157793377648	0.0453500652295459	0.00484562340808846
22010-0054	0.0926144562508199	0.319821592548865	0.445887445887446	0	0.0190213826577463	0.00537845992391447	0.00170536534172898	0.00354191263282172	0.112029384756657	0
22010-0055	0.0100093420525824	0.100894167890031	0.019751768317096	0.300146803683438	0.00600560523154945	0.0128119578273055	0.0548511944481516	0.00600560523154945	0.000667289470172161	0.488856265848125
22010-0056	0.0102646821614488	0.122956228462497	0.066647114891121	0.364176259256544	0.0288877483686487	0.0414986435955715	0.0898159689126769	0.0691399662731872	0.00711195835471809	0.199501429723587
22010-0057	0.00324675324675325	0.0223890692640693	0.0148133116883117	0.927624458874459	0.000473484848484848	0.000405844155844156	0.00669642857142857	0.00426136363636364	0.00155573593073593	0.0185335497835498
22010-0058	0.00171502072316707	0.749535515220809	0.00857510361583536	0.0784621980848935	0.10625982563956	0.0084321852222381	0.0114334714877805	0.035157924824925	0	0.000428755180791768
22010-0059	0.0872252747252747	0.145032051282051	0.6683836996337	0.000572344322344322	0.00286172161172161	0.0019459706959707	0.00240384615384615	0.00446428571428571	0.0871108058608059	0
22010-0060	0.0176976375323483	0.0747975624008682	0.451540195341848	0.00192002671341514	0.0197011436680858	0.0176141581100259	0.066366140746306	0.288671842390851	0.0373987812004341	0.0242925118958177
22010-0061	0.00160842228395964	0.605205439391724	0.000584880830530779	0	0.18394502120193	0.100599502851294	0.0473753472729931	0.0242725544670273	0	0.036408831700541
22010-0062	0	0.224937597956696	0	0.672955244674058	0.0304754164973588	0.00464387299007372	0.00139316189702212	0.0655947059847913	0	0
22010-0063	0.00130447189270719	0.26016061310179	0	0.00175288410582528	0.0779014308426073	0.320655497126085	0.105254575842811	0.130977130977131	0	0.101993396111043
22010-0064	0	0.549157144473357	0.000678809820115398	0.0079194479013463	0.133725534562733	0.074329675302636	0.0614322887204435	0.100690123317117	0	0.0720669759022514
22010-0065	0	0.441437387503214	0	0.117382360503986	0.208729750578555	0.0687194651581383	0.0652481357675495	0.0887760349704294	0.00539984571869375	0.0043070197994343
22010-0066	0	0.570633491569815	0	0.10689147159928	0.0869209363234572	0.0428875429693895	0.0690784089048945	0.123588148633164	0	0
22010-0067	0.557603007297118	0.292290115721972	0	0	0.0605513378049679	0.0113142183238741	0.0119038844254441	0.0660794575071866	0	0.000257978919436869
22010-0068	0.2757161941517	0.384221463559448	0.0711741131067241	0.0163277423185394	0.0757013507495918	0.122383850378507	0.0320617485527683	0.0207065459403295	0	0.00170699124239276
22010-0069	0	0.741160315825609	0.025875386199794	0.00184517679368349	0.111611740473738	0.0480604188122211	0.026733607964298	0.0416237555784415	0	0.00308959835221421
22010-0070	0.00101291466193973	0.785262091668777	0	0.0184856925804001	0.0876171182577868	0.0392504431501646	0.0164598632565206	0.0139275766016713	0	0.0379842998227399
22010-0071	0.00293665221647322	0.487857176152519	0	0.0914557404558803	0.362373560807346	0	0.0198573626066284	0.0260103482030485	0	0.00950915955810376
22010-0072	0.00320723684210526	0.40686677631579	0.0839638157894737	0.0864720394736842	0.161307565789474	0.0429276315789474	0.0422697368421053	0.0769325657894737	0	0.0960526315789474
22010-0073	0	0.218527529963053	0.00171217446156619	0.0182932324051546	0.0249617013607281	0.484545372623231	0.074524646300802	0.108047219969361	0	0.0693881229161035
22010-0074	0	0.566411862750733	0.210471866199207	0.0694867521121904	0.0300017242370251	0	0.0339674693947928	0.0772458187252141	0	0.012414506580838
22010-0075	0.179172229639519	0.435580774365821	0.00707610146862483	0.0261682242990654	0.124165554072096	0.0297062750333778	0.0275700934579439	0.0537383177570094	0	0.116822429906542
