feature	ASV2	ASV3	ASV7	ASV15	ASV17	ASV31	ASV50
22010-0001	0.375329071079353	0.0308386611508086	0.592077222013288	0.000626802055910743	0.000501441644728595	0.000626802055910743	0
22010-0002	0.00212765957446808	0.583215130023641	0	0.178486997635934	0.00118203309692671	0.210874704491726	0.024113475177305
22010-0003	0.980251141552511	0.0107305936073059	0.00091324200913242	0	0	0.0045662100456621	0.00353881278538813
22010-0004	0.00695134061569017	0.600546176762662	0.178748758689176	0.0173783515392254	0.0883813306852036	0.0489076464746773	0.0590863952333665
22010-0005	0.00325814536340852	0.66140350877193	0	0.126065162907268	0.129824561403509	0.0586466165413534	0.0208020050125313
22010-0006	0.424728969397557	0.276794291203513	0.00219569095649787	0.000411692054343351	0.00713599560861809	0.00658707286949362	0.282146287909977
22010-0007	0.256924754634678	0.697491821155943	0	0.00305343511450382	0.020937840785169	0.0202835332606325	0.00130861504907306
22010-0008	0.184447476125512	0.208458390177353	0.103956343792633	0.0633015006821282	0.095225102319236	0.0919508867667121	0.252660300136426
22010-0009	0.0040867651681861	0.022634391700723	0.00377239861678717	0.964162213140522	0.00220056585979252	0.00204338258409305	0.00110028292989626
22010-0010	0.176597363083164	0.00887423935091278	0.813007099391481	0	0	0.000380324543610548	0.00114097363083164
22010-0011	0.0145131745808088	0.0448076652106524	0.154713259123573	0.773707200225447	0	0.00760884880935607	0.00464985205016204
22010-0012	0.154874892148404	0.0255608283002588	0.749676445211389	0.0196289905090595	0.00107851596203624	0.0399050905953408	0.00927523727351165
22010-0013	0.0249210249210249	0.459108459108459	0.135486135486136	0.02000702000702	0.0803790803790804	0.279045279045279	0.00105300105300105
22010-0014	0.102775487771366	0.0369607034899698	0.471558120362737	0.0740588073646606	0.0329760923330585	0.153751030502885	0.127919758175323
22010-0015	0.00289729103288425	0.029986962190352	0.0046356656526148	0.738374619730552	0.00492539475590323	0.00362161379110532	0.215558452846588
22010-0016	0.96744109947644	0.00327225130890052	0	0.0292866492146597	0	0	0
22010-0017	0.270565396748362	0.0892178273881744	0.177707676130389	0.0770848499555124	0.023295316670711	0.281242416889105	0.0808865162177465
22010-0018	0.00145401672119229	0.283533260632497	0	0.71137768084333	0.00181752090149037	0	0.00181752090149037
22010-0019	0.674763380517631	0.0276405059050172	0.00134014574084932	0.00678448781304967	0.00636569226903426	0.0786498031660943	0.204455984588324
22010-0020	0.921259842519685	0.00429491768074445	0.00100214745884037	0	0.00171796707229778	0.0249105225483178	0.0468146027201145
22010-0021	0.99901061341968	0.000449721172872819	0.000359776938298255	0	0	0	0.000179888469149128
22010-0022	0.752106183436656	0.00882212684787792	0.183039262438404	0.0228103640120807	0	0.0264663805436338	0.00675568272134796
22010-0023	0.103997451823539	0.626373626373626	0.0187928014014971	0.0082815734989648	0.119605032648511	0.112756808408982	0.0101927058448798
22010-0024	0.0937597993101286	0.0169332079021637	0.0331347339813944	0.800773492212815	0	0.0553987665934985	0
22010-0025	0.9759767687434	0.00237592397043295	0	0.00114396339317142	0.00167194649771207	0.00554382259767687	0.0132875747976065
22010-0051	0.246023856858847	0.16948310139165	0.533051689860835	0	0.0181411530815109	0.0333001988071571	0
22010-0052	0.27721574664614	0.0466241477897515	0.497031009456785	0	0.0354079612931603	0.0563008577083792	0.0874202771057841
22010-0053	0.155769356633288	0.035866221611362	0.731723280319393	0.0422148046338111	0.010340990902546	0.0189802997578376	0.0051050461417632
22010-0054	0.105137751303053	0.363067758749069	0.506180193596426	0	0.0215934475055845	0.00402084884586746	0
22010-0055	0.0107434464976364	0.108293940696175	0.0212004010886692	0.322160148975792	0.00644606789858187	0.00644606789858187	0.524709926944564
22010-0056	0.0119138796698153	0.142711258616288	0.077355118713301	0.422687430856948	0.0335290613564803	0.0802484894902561	0.231554761296911
22010-0057	0.00327510917030568	0.0225846069868996	0.0149426855895196	0.935725982532751	0.000477620087336244	0.0042985807860262	0.0186954148471616
22010-0058	0.00174978127734033	0.764727325750948	0.00874890638670166	0.0800524934383202	0.108413531641878	0.0358705161854768	0.000437445319335083
22010-0059	0.0960181451612903	0.159526209677419	0.735761088709677	0.000630040322580645	0.00315020161290323	0.00491431451612903	0
22010-0060	0.0201425178147268	0.0851306413301663	0.513919239904988	0.00218527315914489	0.0224228028503563	0.32855106888361	0.0276484560570071
22010-0061	0.00189296162450525	0.709516434348649	0.000688349681638272	0	0.216485974875237	0.0285665117879883	0.0428497676819824
22010-0062	0	0.226303801903872	0	0.677042574315249	0.0306605150966536	0.0659931086842259	0
22010-0063	0.00227224313001491	0.453170489242349	0	0.00305332670595754	0.135695519420578	0.22814741177306	0.177661009728041
22010-0064	0	0.635423484749313	0.000785443120827333	0.00916350307631889	0.154732294802985	0.116507396256054	0.0833878779945019
