feature	ASV2	ASV3	ASV7	ASV15	ASV17	ASV31	ASV50
22010-0001	-1.41377205652041	-5.01911605723958	-0.756142742428258	-10.6397024676915	-10.9616305625788	-10.6397024676915	-13.4406096667484
22010-0002	-8.876516946565	-0.777899947707189	-12.4406096667484	-2.48610911379487	-9.72451385311995	-2.24554204808701	-5.37401660603582
22010-0003	-0.0287766780524723	-6.5421263028109	-10.0967151544885	-12.2461467746359	-12.0318488660393	-7.77478705960117	-8.14251884410166
22010-0004	-7.16849304594918	-0.735652914026859	-2.48399487167711	-5.84656495106182	-3.50011453704039	-4.35379614855041	-4.08103020469884
22010-0005	-8.26173331296862	-0.59639739578344	-12.4406096667484	-2.98775844130418	-2.94536474342315	-4.0918083115263	-5.58713359976278
22010-0006	-1.23538558125539	-1.85311390674406	-8.83110927535702	-11.2461467746359	-7.13066955721593	-7.24614677463587	-1.82548472616314
22010-0007	-1.96058219465196	-0.519751795002085	-12.4406096667484	-8.35535109642481	-5.57774351776126	-5.62354720737439	-9.57774351776126
22010-0008	-2.43871804673899	-2.26216865498543	-3.26595029552785	-3.9816164878936	-3.39251425681152	-3.44299270183932	-1.98472909976094
22010-0009	-7.93482493839842	-5.4653396550972	-8.05030215581836	-0.0526522052724943	-8.82790973448191	-8.93482493839842	-9.82790973448191
22010-0010	-2.50146429377666	-6.81616081943295	-0.298660144540118	-12.2461467746359	-12.0318488660393	-11.3604813356568	-9.7755188349356
22010-0011	-6.1064930638195	-4.48011063571836	-2.69233125199752	-0.370140395058452	-12.0318488660393	-7.03810608883925	-7.74859947164426
22010-0012	-2.69082481718342	-5.28992160210821	-0.415660021420494	-5.67087021080778	-9.85673675611911	-4.64728339049016	-6.75240009630437
22010-0013	-5.32649278681917	-1.12309308082577	-2.88378286905577	-5.64334989215911	-3.63703611822691	-1.84142885615213	-9.8912774056027
22010-0014	-3.28243187595403	-4.75786397328504	-1.08449249834212	-3.75518487308916	-4.92243574023315	-2.70133201486527	-2.96668897828287
22010-0015	-8.43107967405788	-5.05952081144592	-7.75300776894525	-0.437575131039869	-7.66554492769491	-8.10915157917052	-2.21384895783721
22010-0016	-0.0477542662711068	-8.25550073314839	-12.4406096667484	-5.09361305077149	-12.0318488660393	-12.3604813356568	-13.4406096667484
22010-0017	-1.88595075347283	-3.48652417341027	-2.49242209457838	-3.69740884509171	-5.42381624755934	-1.83011389727403	-3.62795696433957
22010-0018	-9.42574042431621	-1.8184101105666	-12.4406096667484	-0.491312383689407	-9.10381232942885	-12.3604813356568	-9.10381232942885
22010-0019	-0.567546414354878	-5.17707216811585	-9.54339438236166	-7.20354437947704	-7.29546686891808	-3.66841303470789	-2.29013780258051
22010-0020	-0.118319967188761	-7.86315380468831	-9.96268947823922	-12.2461467746359	-9.18508189957567	-5.3271009044481	-4.41689757479874
22010-0021	-0.00142808969589293	-11.1186815718611	-11.4406096667484	-12.2461467746359	-12.0318488660393	-12.3604813356568	-12.4406096667484
22010-0022	-0.410991736836626	-6.82465778046764	-2.4497749510249	-5.45416672014206	-12.0318488660393	-5.23969527974649	-7.20968271068005
22010-0023	-3.26537991543043	-0.674904626033954	-5.73367604761502	-6.91587937883577	-3.06364999946259	-3.14871354689387	-6.61631909697687
22010-0024	-3.41488670805416	-5.88400088008879	-4.91551185283401	-0.320533877064702	-12.0318488660393	-4.17400233352286	-13.4406096667484
22010-0025	-0.0350812872811423	-8.71729561402607	-12.4406096667484	-9.77174339804845	-9.22425560274596	-7.49490319268963	-6.23377837686446
22010-0051	-2.02312987483856	-2.56078666078135	-0.907652657418619	-12.2461467746359	-5.78459003092551	-4.90832539934775	-13.4406096667484
22010-0052	-1.850918885886	-4.42277883418134	-1.00859223144199	-12.2461467746359	-4.81978241062992	-4.15069928874454	-3.51588823857282
22010-0053	-2.68251664442338	-4.80123041965816	-0.450629934888137	-4.56610715230807	-6.59548175444159	-5.71935341260376	-7.61386028375644
22010-0054	-3.24964731104362	-1.46168927369459	-0.982277037773133	-12.2461467746359	-5.53326259429987	-7.95828418215134	-13.4406096667484
22010-0055	-6.54039930563062	-3.20697557190543	-5.55976463049755	-1.63415005034869	-7.27736489979683	-7.27736489979683	-0.930408010417946
22010-0056	-6.39121289672694	-2.80882894010756	-3.6923594294778	-1.24233688223466	-4.89844409421553	-3.63938195299681	-2.11057467242222
22010-0057	-8.25424128737579	-5.46851638128973	-6.06441672849577	-0.0958419812310791	-11.0318488660393	-7.86192386459703	-5.74117170513642
22010-0058	-9.15860968821448	-0.386982668535877	-6.83668159332712	-3.64290984993044	-3.20538325688322	-4.8010576835964	-11.1586096882145
22010-0059	-3.38054912289355	-2.64813462095853	-0.442690714594393	-10.6322682154995	-8.31034012061215	-7.66879409152463	-13.4406096667484
22010-0060	-5.63361215827792	-3.55417769078352	-0.960386430687623	-8.83797065678411	-5.47888956347928	-1.60581045919884	-5.17665726993284
22010-0061	-9.04513912068711	-0.495091993436345	-10.5045707393244	-12.2461467746359	-2.20765453244512	-5.12953130797749	-4.54456880725633
22010-0062	-10.8645730817736	-2.14366727280227	-12.4406096667484	-0.562681537568253	-5.02747425529775	-3.92154081054869	-13.4406096667484
22010-0063	-8.78166707319082	-1.14187417991151	-12.4406096667484	-8.35540231848872	-2.88155501021336	-2.13196180771941	-2.492800999025
22010-0064	-10.8645730817736	-0.654209682983189	-10.3142055754132	-6.76988505918936	-2.69215375595679	-3.10150655028056	-3.58401851387802
22010-0065	-10.8645730817736	-0.963188587409687	-12.4406096667484	-2.87418178570231	-2.04376116640044	-3.27715523142848	-7.64256364522876
22010-0066	-10.8645730817736	-0.636277572820835	-12.4406096667484	-3.05393627346878	-3.36048133565675	-2.84836940034328	-13.4406096667484
22010-0067	-0.809070260837924	-1.7409075600639	-12.4406096667484	-12.2461467746359	-4.01207786299195	-3.88362299320088	-11.5242696264997
22010-0068	-1.6169668087267	-1.13821270129173	-3.57072629913453	-5.694753590628	-3.4817598672938	-5.34168698393173	-8.95255134809565
22010-0069	-10.8645730817736	-0.319491250410478	-5.16212825183566	-8.97187768903365	-3.05329175979276	-4.47630150666126	-8.22821744229343
22010-0070	-9.86457308177364	-0.266055271161019	-12.4406096667484	-5.67474852289362	-3.42994485413692	-6.08321336824898	-4.63575439127776
22010-0071	-8.38267548615442	-1.00653286603962	-12.4406096667484	-3.42184608343509	-1.43551401731513	-5.23583409782514	-6.68753006768284
22010-0072	-8.15598581048444	-1.16890403741181	-3.44562087846889	-3.40315489461491	-2.50364640926959	-3.5717941861059	-3.25156347046667
22010-0073	-10.8645730817736	-1.0136188107308	-8.00946032924907	-4.59205192550748	-4.14364567664346	-2.02977189927843	-2.6630632387678
22010-0074	-10.8645730817736	-0.770220290742198	-2.19844437087571	-3.79726191742392	-5.00895445010316	-3.64454302389429	-6.28197294450958
22010-0075	-2.39548784522701	-1.11389461508258	-7.05773634686399	-5.17094695731198	-2.9245698954318	-4.13281182842521	-3.0125175947075
