feature	ASV1	ASV3	ASV4	ASV6
22010-0001	0.375753012048193	0.0308734939759036	0.592745983935743	0.000627510040160643
22010-0002	0.00278551532033426	0.763540699473847	0	0.233673785205819
22010-0003	0.988261019680055	0.0108182759811256	0.000920704338819197	0
22010-0004	0.00864998455359901	0.747296879827	0.222428174235403	0.0216249613839975
22010-0005	0.00412044374009509	0.836450079239303	0	0.159429477020602
22010-0006	0.603549141965679	0.392745709828393	0.0031201248049922	0.000585023400936037
22010-0007	0.268337129840547	0.728473804100228	0	0.00318906605922551
22010-0008	0.329274232830005	0.372138334145153	0.185582075012177	0.113005358012664
22010-0009	0.00410872313527181	0.02275600505689	0.00379266750948167	0.969342604298356
22010-0010	0.176866429659726	0.00888776028440833	0.814245810055866	0
22010-0011	0.0146932952924394	0.0453637660485021	0.156633380884451	0.783309557774608
22010-0013	0.0389681668496158	0.717892425905598	0.21185510428101	0.0312843029637761
22010-0014	0.149959903769046	0.0539294306335205	0.688051323175621	0.108059342421812
22010-0015	0.00373273609555804	0.0386338185890258	0.00597237775289287	0.951661067562523
22010-0016	0.96744109947644	0.00327225130890052	0	0.0292866492146597
22010-0017	0.440247433535141	0.145169781521453	0.289155040800211	0.125427744143196
22010-0018	0.00145932141554177	0.284567676030646	0	0.713973002553812
22010-0019	0.949664033950253	0.0389013320759165	0.00188612519155959	0.00954850878227042
22010-0020	0.994283065512979	0.0046353522867738	0.00108158220024722	0
22010-0021	0.999190356243253	0.000449802087081684	0.000359841669665347	0
22010-0022	0.77795133179875	0.00912528773429793	0.18932916803683	0.0235942124301217
22010-0023	0.137300252312868	0.826955424726661	0.0248107653490328	0.0109335576114382
22010-0024	0.0992586035188669	0.0179263029766515	0.0350780126148058	0.847737080889676
22010-0025	0.99640643248585	0.00242565807205103	0	0.00116790944209864
22010-0026	0.0440265994038065	0	0.000458610410456317	0.955514790185737
22010-0027	0.0924702774108322	0.383091149273448	0.52443857331572	0
22010-0028	0.972955803611943	0.00916598602414012	0.0173336963426808	0.000544514021236047
22010-0029	0.780758318287336	0.00619035336600464	0.21305132834666	0
22010-0030	0.645651434402994	0	0.354348565597006	0
22010-0031	0.904554023216589	0.0148824288123822	0.079869034626451	0.000694513344577835
22010-0032	0.977790765634132	0.00400768138932955	0.0178675795274276	0.000333973449110796
22010-0033	0.9955286446204	0.00130414531904984	0.00055891942244993	0.00260829063809967
22010-0034	0.85328543284274	0.00220187739019585	0.141731370958396	0.00278131880866844
22010-0035	0.988720887696622	0.00298744055602975	0.00829167174734788	0
22010-0036	0.999797228793511	0.000202771206488679	0	0
22010-0037	0.987186169750673	0.00225870906089827	0.0103379376248805	0.000217183563547911
22010-0038	0.988981896048277	0.000350399065602492	0.0105119719680747	0.000155732918045552
22010-0039	0.917745714638056	0.000493279072635343	0.00147983721790603	0.0802811690714021
22010-0040	0.989481987904286	0.00184065211674993	0.00867735997896398	0
22010-0041	0.991116375481196	0.00355344980752147	0.00399763103346165	0.00133254367782055
22010-0042	0.995424376508447	0.000502815768302494	0.0040728077232502	0
22010-0043	0.487951437856398	0.00570237292292599	0.00932000735790055	0.497026181862775
22010-0044	0.996980752295886	0	0.00301924770411372	0
22010-0045	0.996483180428135	0.00122324159021407	0.00229357798165138	0
22010-0046	0.993360006810249	0.00085128117817315	0.00527794330467353	0.00051076870690389
22010-0047	0.0478298290913562	0.253412025082995	0.697651543096029	0.00110660272962007
22010-0048	0.0866428339291518	0.031459213519662	0.881897952551186	0
22010-0049	0.635902636916836	0.25140860942078	0.109871534820825	0.00281721884155961
22010-0050	0.987224923761642	0.0100552212972884	0.00271985494106981	0
22010-0051	0.259365994236311	0.178674351585014	0.561959654178674	0
22010-0052	0.337709310113865	0.0567983924983255	0.60549229738781	0
22010-0053	0.161323120721209	0.0371449874601776	0.757811970446689	0.0437199213719243
22010-0054	0.107901574201437	0.372611951704111	0.519486474094452	0
22010-0056	0.0181983621474067	0.217990380865722	0.118159365657091	0.64565189132978
22010-0057	0.00335382895472331	0.0231274455002795	0.0153018446059251	0.958216880939072
22010-0058	0.00204586139289063	0.89412667291791	0.0102293069644532	0.0935981587247464
22010-0059	0.0967864854566239	0.160929759939032	0.741648672678776	0.000635081925568398
22010-0060	0.0324159021406728	0.137003058103976	0.827064220183486	0.00351681957186544
22010-0061	0.00264805007221955	0.996389022628791	0.000962927298988926	0
22010-0063	0.00495586185535078	0.988384698776522	0	0.00665943936812761
22010-0064	0	0.984584178498986	0.00121703853955375	0.0141987829614604
22010-0065	0	0.78994593350972	0	0.21005406649028
22010-0066	0	0.84223242329065	0	0.15776757670935
22010-0067	0.656086032695893	0.343913967304107	0	0
22010-0068	0.368880945288452	0.514050243272763	0.0952239102373151	0.0218449012014696
22010-0069	0	0.963946869070209	0.0336533095211519	0.00239982140863936
22010-0070	0.0012586532410321	0.975770925110132	0	0.0229704216488357
22010-0071	0.00504363141461853	0.83788327595869	0	0.157073092626691
22010-0072	0.00552486187845304	0.700878311375549	0.144638050715399	0.148958776030599
22010-0073	0	0.916131469588213	0.00717793728749528	0.0766905931242917
22010-0074	0	0.669224500882792	0.248675811489882	0.0820996876273258
22010-0075	0.276501493767384	0.67219532296281	0.0109199546718863	0.040383228597919
