feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV87	SexOfPartner	M	4.87454437259659	1.95874490370005	23	18	0.0222685285151637	0.467639098818437
ASV87	SexOfPartner	F	3.18788801318428	1.95874490370005	23	18	0.120097468021911	0.84068227615338
ASV397	SexOfPartner	M+F	-2.18552998421761	1.32729116620006	23	22	0.116078856592281	0.84068227615338
ASV1	SexOfPartner	M	-1.48375508389605	2.15161415890276	23	16	0.498781807390262	0.89538109736604
ASV54	SexOfPartner	M+F	0.63461314656695	1.11847335575058	23	23	0.577090997269309	0.89538109736604
ASV66	SexOfPartner	M+F	4.22184540612059	2.98358936515152	23	17	0.173243195081184	0.89538109736604
ASV66	SexOfPartner	F	2.33540253119574	2.3474755589578	23	17	0.33230785712897	0.89538109736604
ASV87	SexOfPartner	M+F	1.52977624718702	2.48952132490734	23	18	0.546182988999134	0.89538109736604
ASV205	SexOfPartner	M+F	-0.784409337056507	1.45839918318962	23	22	0.59692073157736	0.89538109736604
ASV369	SexOfPartner	M	-0.825966001321674	1.00500194598074	23	23	0.421353442306086	0.89538109736604
ASV369	SexOfPartner	M+F	-1.4166291737168	1.27733518099586	23	23	0.281249479794885	0.89538109736604
ASV369	SexOfPartner	F	-0.771390770574088	1.00500194598074	23	23	0.452187482662774	0.89538109736604
ASV397	SexOfPartner	M	-0.832885396280304	1.04430710494807	23	22	0.434987407763349	0.89538109736604
ASV397	SexOfPartner	F	-0.779627536043157	1.04430710494807	23	22	0.464473436865411	0.89538109736604
ASV1	SexOfPartner	M+F	-1.04825690336132	2.73465387016076	23	16	0.705735253146083	0.97224065512166
ASV1	SexOfPartner	F	0.389871363384472	2.15161415890276	23	16	0.858129974551178	0.97224065512166
ASV54	SexOfPartner	M	0.0310286805491344	0.88001013029373	23	23	0.97224065512166	0.97224065512166
ASV54	SexOfPartner	F	0.244812176657328	0.880010130293731	23	23	0.783869491207122	0.97224065512166
ASV66	SexOfPartner	M	-0.160146641959113	2.3474755589578	23	17	0.946322709493563	0.97224065512166
ASV205	SexOfPartner	M	-0.239401952355917	1.14746234107447	23	22	0.836952798431583	0.97224065512166
ASV205	SexOfPartner	F	0.0548252257459415	1.14746234107447	23	22	0.962390602693723	0.97224065512166
