feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV3	grp	02_premenopausal	-4.28649337226937	0.836218253893071	72	69	2.78895903553692e-06	5.57791807107383e-05
ASV6	grp	02_premenopausal	-4.67396736861546	1.23902757148346	72	52	0.000348387360599936	0.00348387360599936
ASV1	grp	03_trans-men	-4.22804697390373	1.21200721918378	72	66	0.000869979931780697	0.00579986621187131
ASV1	grp	02_premenopausal	2.41583367041893	0.844004249416763	72	66	0.00562925584037651	0.0281462792018826
ASV6	SexOfPartner	M	5.67125939600255	2.34633753267081	72	52	0.0184172913000893	0.0736691652003573
ASV3	grp	03_trans-men	2.5302295475868	1.2008263717061	72	69	0.0389154334628668	0.129718111542889
ASV6	SexOfPartner	F	3.65412651748288	2.34633753267081	72	52	0.124164159426877	0.354754741219649
ASV4	SexOfPartner	M+F	4.46556451415836	3.01774118864387	72	59	0.143692194023855	0.359230485059637
ASV6	grp	03_trans-men	1.9448253466649	1.77926872103244	72	52	0.278346541966797	0.618547871037327
ASV1	SexOfPartner	M	-1.49563352941215	1.59828473047554	72	66	0.352800923624977	0.705601847249955
ASV4	SexOfPartner	F	1.95869630238688	2.31462539250895	72	59	0.400484442419111	0.728153531671111
ASV6	SexOfPartner	M+F	2.3508383303355	3.0590865535812	72	52	0.444944836054627	0.741574726757712
ASV1	SexOfPartner	M+F	-1.1759325580029	2.08379709215427	72	66	0.574447860183714	0.873826777776151
ASV4	grp	02_premenopausal	0.623493419991234	1.22228138068006	72	59	0.611678744443305	0.873826777776151
ASV1	SexOfPartner	F	0.358793831812234	1.59828473047554	72	66	0.823072066510886	0.909490339620978
ASV3	SexOfPartner	M	-0.180711190532579	1.58354044717878	72	69	0.909490339620978	0.909490339620978
ASV3	SexOfPartner	M+F	0.385018903899351	2.06457392492139	72	69	0.852633881321073	0.909490339620978
ASV3	SexOfPartner	F	0.30665789800106	1.58354044717878	72	69	0.847042094154125	0.909490339620978
ASV4	SexOfPartner	M	-0.369776788543571	2.31462539250895	72	59	0.87356069266803	0.909490339620978
ASV4	grp	03_trans-men	-0.694760491243148	1.7552208514138	72	59	0.693510724027198	0.909490339620978
