feature	ASV1	ASV54	ASV66	ASV87
22010-0001	0.200685796787583	0.0411478072550081	0.75726403176322	0.000902364194188775
22010-0002	0.00333951762523191	0.721706864564007	0	0.274953617810761
22010-0003	0.984626234132581	0.0136812411847673	0.00169252468265162	0
22010-0004	0.0124853687085447	0.705813499804916	0.260241904018728	0.0214592274678112
22010-0005	0	0.809646856158484	0	0.190353143841516
22010-0006	0.645043398812243	0.349703060758337	0.00433988122430333	0.000913659205116491
22010-0007	0.278115501519757	0.718338399189463	0	0.00354609929078014
22010-0008	0.36662817551963	0.359122401847575	0.221709006928407	0.052540415704388
22010-0009	0.00498154981549816	0.0232472324723247	0.0033210332103321	0.968450184501845
22010-0010	0.177411837812646	0.0142923722230853	0.808295789964269	0
22010-0011	0.00259015740187288	0.0268977884040646	0.194461048017533	0.776051006176529
22010-0013	0.0361344537815126	0.621848739495798	0.28655462184874	0.0554621848739496
22010-0014	0.150444548432382	0.0528778661675246	0.691389798783341	0.105287786616752
22010-0015	0.00341476228001051	0.0530601523509325	0.013659049120042	0.929866036249015
22010-0016	0.916037735849057	0.00943396226415094	0	0.0745283018867925
22010-0017	0.448403516890328	0.120777417862101	0.307882153324078	0.122936911923492
22010-0018	0	0.323882224645583	0	0.676117775354417
22010-0019	0.958861613164284	0.029673590504451	0.00202319935257621	0.00944159697868897
22010-0020	0.99386738213875	0.00479110770410119	0.00134151015714833	0
22010-0021	0.999287531806616	0.000305343511450382	0.000407124681933842	0
22010-0022	0.775966641394996	0.00947687642153146	0.198066717210008	0.0164897649734647
22010-0023	0.15676257058349	0.80586179080398	0.0271578381285292	0.0102178004840011
22010-0024	0.102982162764771	0.02020624303233	0.0256410256410256	0.851170568561873
22010-0025	0.992492492492492	0.0062062062062062	0	0.0013013013013013
22010-0026	0.0474941322656358	0	0	0.952505867734364
22010-0027	0.0931705110809588	0.412483039348711	0.49434644957033	0
22010-0028	0.974794238683128	0.0121399176954733	0.0124485596707819	0.000617283950617284
22010-0029	0.774156331122008	0.00576867608883761	0.220074992789155	0
22010-0030	0.700943270891457	0	0.299056729108543	0
22010-0031	0.89946452476573	0.0172690763052209	0.0823293172690763	0.000937081659973226
22010-0032	0.978750365532703	0.00360658933619261	0.0172531435812457	0.000389901549858661
22010-0033	0.995020658968111	0.000635660557262422	0.00137726454073525	0.0029664159338913
22010-0034	0.896792763157895	0.00205592105263158	0.0988212719298246	0.00233004385964912
22010-0035	0.985693740065097	0.0037090303534933	0.0105972295814094	0
22010-0036	1	0	0	0
22010-0037	0.989236264005088	0.00254415578061549	0.00797494985077548	0.00024463036352072
22010-0038	0.989457350189403	0.000182556706677012	0.0101775363972434	0.000182556706677012
22010-0039	0.904538577912254	0.000605143721633888	0.00136157337367625	0.0934947049924357
22010-0040	0.991561181434599	0.00146056475170399	0.00697825381369685	0
22010-0041	0.995664825702239	0.00320684126135756	0	0.00112833303640359
22010-0042	0.994264958898872	0.000573504110112789	0.0051615369910151	0
22010-0043	0.41972920696325	0.00443262411347518	0.0114442295293359	0.56439393939394
22010-0044	0.996484546652995	0	0.00351545334700454	0
22010-0045	0.994142980189492	0.00137812230835487	0.0041343669250646	0.000344530577088717
22010-0046	0.992391194075276	0.00101450745662981	0.00598559399411586	0.000608704473977884
22010-0047	0.0297673012994863	0.241613780598368	0.727258990631611	0.0013599274705349
22010-0048	0.0892693110647182	0.0298956158663883	0.880835073068894	0
22010-0049	0.636070229796024	0.243867802736897	0.116834495223341	0.0032274722437387
22010-0050	0.986415985825376	0.0108278373855694	0.00275617678905404	0
22010-0051	0.221030682156688	0.178135239797438	0.600834078045874	0
22010-0052	0.343340180123242	0.0624111234002212	0.594248696476537	0
22010-0053	0.156436525612472	0.0412472160356347	0.751002227171492	0.0513140311804009
22010-0054	0.118460719985813	0.36832771768044	0.513211562333747	0
22010-0056	0.02360937220533	0.261312824181721	0.128062958325881	0.587014845287068
22010-0057	0.00432084217141959	0.0231754261921596	0.016890564851913	0.955613166784508
22010-0058	0.00188080404372869	0.872575526037381	0.0114023745151052	0.114141295403785
22010-0059	0.103786622443339	0.169568822553897	0.726091763405196	0.000552791597567717
22010-0060	0.0292965105430118	0.101324874043665	0.865273371897742	0.00410524351558126
22010-0061	0.00313568985176739	0.995724059293044	0.00114025085518814	0
22010-0063	0	0.980600584639915	0.00797236247674728	0.0114270528833378
22010-0064	0	0.983357108892059	0	0.016642891107941
22010-0065	0	0.771954475200225	0	0.228045524799775
22010-0066	0	0.816566351390083	0	0.183433648609917
22010-0067	0.576918032786885	0.423081967213115	0	0
22010-0068	0.398576512455516	0.480071174377224	0.097153024911032	0.0241992882562278
22010-0069	0	0.957531708707425	0.0391905372666382	0.00327775402593701
22010-0070	0.00143833153541891	0.977346278317152	0	0.021215390147429
22010-0071	0.00671355498721228	0.812340153452686	0	0.180946291560102
22010-0072	0.00513542615754162	0.691294624368425	0.151577901101632	0.151992048372401
22010-0073	0	0.896774193548387	0.00942928039702233	0.0937965260545906
22010-0074	0	0.663971997666472	0.260771730977581	0.0752562713559463
22010-0075	0.333803213983648	0.597688187200451	0.0152241330702002	0.0532844657457006
