feature	ASV1	ASV54	ASV66	ASV87
22010-0001	-2.31698957898009	-4.60304063753885	-0.401131689126327	-10.1140025568162
22010-0002	-8.22614455619756	-0.470515117766313	-12.2622416920333	-1.86273982533403
22010-0003	-0.0223519160003737	-6.19165706993975	-9.20660741140572	-13.419367708794
22010-0004	-6.32361776329158	-0.502641070670336	-1.94207481210699	-5.54225804976692
22010-0005	-10.4413880293467	-0.304635310300567	-12.2622416920333	-2.39324969747413
22010-0006	-0.632531865909766	-1.51579767168116	-7.84812872573736	-10.0960562391809
22010-0007	-1.8462439354512	-0.477264457216882	-12.2622416920333	-8.13955135239879
22010-0008	-1.4476104330672	-1.47745244459612	-2.17326071400557	-4.25042857452803
22010-0009	-7.64918963407777	-5.42679721274132	-8.23415213479892	-0.0462502540304565
22010-0010	-2.49482581814687	-6.1286107974527	-0.307044761533018	-13.419367708794
22010-0011	-8.59274451261842	-5.21636863370868	-2.36244689319662	-0.365776617810477
22010-0013	-4.79048110349321	-0.685364397678993	-1.80311792917113	-4.17235173883685
22010-0014	-2.73269626533186	-4.24119223024462	-0.532428777594916	-3.24759000144277
22010-0015	-8.19399913642117	-4.23622737181047	-6.19399913642117	-0.104905209591902
22010-0016	-0.126521064031369	-6.7279204545632	-12.2622416920333	-3.74606780127346
22010-0017	-1.15713050144443	-3.04957736028962	-1.6995498522434	-3.02400994359019
22010-0018	-10.4413880293467	-1.62645880279429	-12.2622416920333	-0.564653518320817
22010-0019	-0.060605480278025	-5.0746766862945	-8.94914580421064	-6.72675338287419
22010-0020	-0.00887473796415746	-7.70542503904273	-9.54192630675985	-13.419367708794
22010-0021	-0.00102824066728284	-11.6772791913122	-11.2622416920333	-13.419367708794
22010-0022	-0.365933462228134	-6.72137265947682	-2.3359416222833	-5.92228535340282
22010-0023	-2.67334695941149	-0.311395664098413	-5.20248754986019	-6.6127715191684
22010-0024	-3.27953362077311	-5.62905508490433	-5.28540221886225	-0.23247982812241
22010-0025	-0.0108719055635706	-7.33207265229291	-12.2622416920333	-9.58582924453869
22010-0026	-4.39610690526123	-13.419367708794	-12.2622416920333	-0.0702001148008841
22010-0027	-3.42398278263301	-1.27759329565148	-1.01640562414432	-13.419367708794
22010-0028	-0.0368303705473269	-6.3640975491313	-6.32787736121855	-10.661778097772
22010-0029	-0.36930316500265	-7.43754402631547	-2.1839328743683	-13.419367708794
22010-0030	-0.512630406878784	-13.419367708794	-1.74150891467617	-13.419367708794
22010-0031	-0.152861712747816	-5.85566527225335	-3.60244992745	-10.059537605619
22010-0032	-0.0309871536820293	-8.11514912446077	-5.85699694000672	-11.3246024900897
22010-0033	-0.00720161517938246	-10.6194558075683	-9.50397859014834	-8.39706338623183
22010-0034	-0.157153458802835	-8.92599941855622	-3.33903456492392	-8.7454271729144
22010-0035	-0.0207886311676347	-8.07474221022772	-6.56016903739796	-13.419367708794
22010-0036	0	-13.419367708794	-12.2622416920333	-13.419367708794
22010-0037	-0.0156129670263314	-8.61859727400811	-6.97030883791812	-11.9971088972618
22010-0038	-0.015290572552767	-12.419367708794	-6.6184678088737	-12.419367708794
22010-0039	-0.14474606083484	-10.6904345563951	-9.52050955495274	-3.41897152849068
