feature	ASV1	ASV3	ASV4	ASV6
22010-0001	-1.41214342600966	-5.01748742672884	-0.754514111917516	-10.6380738371807
22010-0002	-8.48784003382305	-0.389223034965241	-12.4403501192006	-2.09743220105292
22010-0003	-0.0170359578714321	-6.53038558262986	-10.0849744343075	-13.6486384532343
22010-0004	-6.85308672815157	-0.420246596229248	-2.1685885538795	-5.53115863326421
22010-0005	-7.92298457172882	-0.257648654543643	-12.4403501192006	-2.64900970006438
22010-0006	-0.729300616089789	-1.34702894157845	-8.32502431019141	-10.7400618094703
22010-0007	-1.89788140059226	-0.457051000942388	-12.4403501192006	-8.29265030236512
22010-0008	-1.60263847582642	-1.42608908407285	-2.42987072461528	-3.14553691698103
22010-0009	-7.9270941663317	-5.45760888303048	-8.04257138375164	-0.0449214332057725
22010-0010	-2.4992678533003	-6.81396437895659	-0.29646370406376	-13.6486384532343
22010-0011	-6.08869820171477	-4.46231577361363	-2.67453638989279	-0.352345532953721
22010-0013	-4.68156012429737	-0.478160418303968	-2.23885020653397	-4.99841722963731
22010-0014	-2.73735128994203	-4.21278338727305	-0.539411912330125	-3.21010428707716
22010-0015	-8.06501215043695	-4.69345328782499	-7.38694024532431	-0.0715076074189337
22010-0016	-0.0477542662711068	-8.25550073314839	-12.4403501192006	-5.09361305077149
22010-0017	-1.1836135011362	-2.78418692107364	-1.79008484224175	-2.99507159275508
22010-0018	-9.42048661282577	-1.81315629907616	-12.4403501192006	-0.486058572198971
22010-0019	-0.0745108785808153	-4.68403663234178	-9.0503588465876	-6.71050884370297
22010-0020	-0.00827145932191316	-7.75310529682146	-9.85264097037237	-13.6486384532343
22010-0021	-0.00116854214803276	-11.1184220243132	-11.4403501192006	-13.6486384532343
22010-0022	-0.362248191049675	-6.77591423468069	-2.40103140523795	-5.40542317435511
22010-0023	-2.86459381819922	-0.274118528802745	-5.33288995038381	-6.51509328160456
22010-0024	-3.33266403244553	-5.80177820448017	-4.83328917722539	-0.23831120145608
22010-0025	-0.00519375969411856	-8.68740808643905	-12.4403501192006	-9.74185587046142
22010-0026	-4.50548077436045	-13.2678595753601	-11.0904432750816	-0.0656498903790573
22010-0027	-3.43359537600621	-1.38296930293625	-0.932307893926681	-13.6486384532343
