feature	ASV2	ASV3	ASV4	ASV6	ASV17	ASV31
22010-0051	0.246023856858847	0.16948310139165	0.533051689860835	0	0.0181411530815109	0.0333001988071571
22010-0052	0.303771538739607	0.0510904928304615	0.544643933003976	0	0.0387998554042656	0.0616941800216894
22010-0053	0.156568646799553	0.0360502598513256	0.735477929083613	0.042431418985593	0.0103940530228274	0.0190776922570883
22010-0054	0.105137751303053	0.363067758749069	0.506180193596426	0	0.0215934475055845	0.00402084884586746
22010-0055	0.0226039783001808	0.227848101265823	0.0446051838456902	0.677817962628089	0.0135623869801085	0.0135623869801085
22010-0056	0.0155038759689922	0.185714285714286	0.100664451827243	0.550055370985604	0.0436323366555925	0.104429678848283
22010-0057	0.0033375052148519	0.0230148797107496	0.0152273675427618	0.953553052426644	0.000486719510499235	0.00438047559449312
22010-0058	0.00175054704595186	0.765061998541211	0.0087527352297593	0.0800875273522976	0.108460977388767	0.0358862144420131
22010-0059	0.0960181451612903	0.159526209677419	0.735761088709677	0.000630040322580645	0.00315020161290323	0.00491431451612903
22010-0060	0.0207152628493258	0.0875512995896033	0.528532343169826	0.00224741059214383	0.0230603869454759	0.337893296853625
22010-0061	0.00197770586120101	0.741280115066523	0.000719165767709457	0	0.226177633944624	0.0298453793599425
22010-0062	0	0.226303801903872	0	0.677042574315249	0.0306605150966536	0.0659931086842259
22010-0063	0.00276314653311458	0.55107503669804	0	0.00371297815387272	0.165011657024437	0.277437181590536
22010-0064	0	0.693230505569837	0.000856898029134533	0.00999714367323622	0.168808911739503	0.127106540988289
22010-0065	0	0.515501839201261	0	0.137076796036334	0.243750469183995	0.10367089557841
22010-0066	0	0.643370827955006	0	0.120413055504333	0.0973630831643002	0.13885303337636
22010-0067	0.570943396226415	0.299283018867925	0	0	0.062	0.0677735849056604
22010-0068	0.326679563841013	0.455240942666198	0.0843299331691875	0.0193457615195216	0.089693985226873	0.0247098135772072
22010-0069	0	0.804033644686091	0.028021748222501	0.00199823411868581	0.120869928900042	0.0450764440726799
22010-0070	0.00111763062307907	0.866443140542051	0	0.0203967588711931	0.0966750488963398	0.0153674210673372
22010-0071	0.00302550064832157	0.502617298179897	0	0.0942227344763002	0.373337175238919	0.0267972914565625
22010-0072	0.00391723583768582	0.496936520691041	0.102551225391724	0.105614704700683	0.197016874246685	0.0939634391321816
22010-0073	0	0.588163958282804	0.00460829493087558	0.0492359932088285	0.0671840892553965	0.290807664322095
22010-0074	0	0.593960945033751	0.220708775313404	0.0728664416586307	0.0314609450337512	0.0810028929604629
22010-0075	0.216941480763013	0.527400581959263	0.0085677335919819	0.0316844487552538	0.150339476236663	0.0650662786938248
