feature	ASV2	ASV3	ASV4	ASV6	ASV17	ASV31
22010-0051	-2.02312987483855	-2.56078666078135	-0.907652657418619	-11.6322682154995	-5.78459003092551	-4.90832539934775
22010-0052	-1.71894138911164	-4.29080133740698	-0.876614734667628	-11.6322682154995	-4.68780491385556	-4.01872179197018
22010-0053	-2.67513275604839	-4.79384653128317	-0.443246046513146	-4.55872326393308	-6.5880978660666	-5.71196952422876
22010-0054	-3.24964731104362	-1.46168927369459	-0.982277037773133	-11.6322682154995	-5.53326259429987	-7.95828418215134
22010-0055	-5.46727948045998	-2.13385574673479	-4.48664480532691	-0.561030225178047	-6.20424507462619	-6.20424507462619
22010-0056	-6.01122725542325	-2.42884329880387	-3.31237378817411	-0.862351240930982	-4.51845845291184	-3.25939631169312
22010-0057	-8.22701419364913	-5.44128928756307	-6.03718963476912	-0.0686148875044244	-11.0046217723127	-7.83469677087037
22010-0058	-9.15797844994543	-0.386351430266831	-6.83605035505807	-3.64227861166139	-3.20475201861417	-4.80042644532735
22010-0059	-3.38054912289355	-2.64813462095853	-0.442690714594394	-10.6322682154995	-8.31034012061215	-7.66879409152463
22010-0060	-5.59316206344684	-3.51372759595244	-0.919936335856544	-8.79752056195303	-5.4384394686482	-1.56536036436776
22010-0061	-8.98195641070939	-0.431909283458622	-10.4413880293467	-11.6322682154995	-2.1444718224674	-5.06634859799976
22010-0062	-10.8053408284164	-2.14366727280227	-11.4413880293467	-0.562681537568253	-5.02747425529775	-3.92154081054869
22010-0063	-8.49947221256157	-0.859679319282256	-11.4413880293467	-8.07320745785947	-2.59936014958411	-1.84976694709016
22010-0064	-10.8053408284164	-0.52859295327737	-10.1885888457073	-6.64426832948354	-2.56653702625097	-2.97588982057474
22010-0065	-10.8053408284164	-0.955950520054783	-11.4413880293467	-2.8669437183474	-2.03652309904554	-3.26991716407357
22010-0066	-10.8053408284164	-0.636277572820834	-11.4413880293467	-3.05393627346878	-3.36048133565676	-2.84836940034328
22010-0067	-0.808580372121187	-1.74041767134717	-11.4413880293467	-11.6322682154995	-4.01158797427521	-3.88313310448414
22010-0068	-1.61405188825157	-1.1352977808166	-3.5678113786594	-5.69183867015287	-3.47884494681867	-5.3387720634566
22010-0069	-10.8053408284164	-0.314672222828672	-5.15730922425386	-8.96705866145184	-3.04847273221095	-4.47148247907945
22010-0070	-9.80534082841638	-0.206823017803762	-11.4413880293467	-5.61551626953637	-3.37071260077966	-6.02398111489172
22010-0071	-8.36861039084109	-0.992467770726287	-11.4413880293467	-3.40778098812176	-1.42144892200181	-5.22176900251181
22010-0072	-7.99594829611879	-1.00886652304616	-3.28558336410323	-3.24311738024926	-2.34360889490394	-3.41175667174025
22010-0073	-10.8053408284164	-0.765709713926212	-7.76155123244448	-4.34414282870289	-3.89573657983888	-1.78186280247384
22010-0074	-10.8053408284164	-0.751560022882378	-2.17978410301589	-3.7786016495641	-4.99029418224334	-3.62588275603447
22010-0075	-2.20462216188908	-0.923028931744655	-6.86687066352607	-4.98008127397406	-2.73370421209387	-3.94194614508729
