feature	ASV1	ASV66
22010-0026	0	-10.4987725102695
22010-0027	-2.65668518826466	-0.249108029775976
22010-0028	-0.0183072143476181	-6.30935420501884
22010-0029	-0.360956627167086	-2.17558633653274
22010-0030	-0.512630406878784	-1.74150891467617
22010-0031	-0.126353735782883	-3.57594195048506
22010-0032	-0.0252098839920129	-5.8512196703167
22010-0033	-0.0019955353005052	-9.49877251026947
22010-0034	-0.150811931929008	-3.33269303805009
22010-0035	-0.0154276833537986	-6.55480808958413
22010-0036	0	-10.4987725102695
22010-0037	-0.0115839784774883	-6.96627984936928
22010-0038	-0.014763729057292	-6.61794096537822
22010-0039	-0.00217001049820249	-9.37793350461611
22010-0040	-0.0101176124949163	-7.16080952249891
22010-0041	0	-10.4987725102695
22010-0042	-0.00747010319923291	-7.59715592363197
22010-0043	-0.0388094430102361	-5.23557605667119
22010-0044	-0.00508066276829478	-8.15207353581907
22010-0045	-0.00598733022261322	-7.91563044517268
22010-0046	-0.00867545878903419	-7.38194615876498
22010-0047	-4.66854306862619	-0.0578741801176985
22010-0048	-3.44190379388278	-0.139268075738712
22010-0049	-0.243281248014753	-2.68800102235637
22010-0050	-0.00402545962659158	-8.48740940000834
