feature	ASV16	ASV82	ASV271	ASV526
22010-0001	0.200685796787584	0.75726403176322	0.0411478072550081	0.000902364194188775
22010-0002	0.00333951762523191	0	0.721706864564008	0.27495361781076
22010-0003	0.984626234132581	0.00169252468265162	0.0136812411847673	0
22010-0004	0.0124853687085447	0.260241904018728	0.705813499804916	0.0214592274678112
22010-0005	0	0	0.809646856158484	0.190353143841516
22010-0006	0.645043398812243	0.00433988122430334	0.349703060758337	0.000913659205116492
22010-0007	0.278115501519757	0	0.718338399189463	0.00354609929078014
22010-0008	0.36662817551963	0.221709006928407	0.359122401847575	0.052540415704388
22010-0009	0.00498154981549816	0.0033210332103321	0.0232472324723247	0.968450184501845
22010-0010	0.177411837812645	0.808295789964269	0.0142923722230853	0
22010-0011	0.00259015740187288	0.194461048017533	0.0268977884040646	0.776051006176529
22010-0012	0.14194390084801	0.815655577299413	0.0223091976516634	0.0200913242009132
22010-0013	0.0361344537815126	0.28655462184874	0.621848739495798	0.0554621848739496
22010-0014	0.150444548432382	0.691389798783341	0.0528778661675246	0.105287786616752
22010-0015	0.00341476228001051	0.013659049120042	0.0530601523509325	0.929866036249015
22010-0016	0.916037735849057	0	0.00943396226415094	0.0745283018867925
22010-0017	0.448403516890329	0.307882153324078	0.120777417862101	0.122936911923492
22010-0018	0	0	0.323882224645584	0.676117775354416
22010-0019	0.958861613164284	0.00202319935257621	0.029673590504451	0.00944159697868896
22010-0020	0.993867382138751	0.00134151015714833	0.00479110770410119	0
22010-0021	0.999287531806616	0.000407124681933842	0.000305343511450382	0
22010-0022	0.775966641394996	0.198066717210008	0.00947687642153146	0.0164897649734647
22010-0023	0.15676257058349	0.0271578381285292	0.80586179080398	0.0102178004840011
22010-0024	0.102982162764771	0.0256410256410256	0.02020624303233	0.851170568561873
22010-0025	0.992492492492492	0	0.00620620620620621	0.0013013013013013
