feature	ASV2	ASV7	ASV18	ASV33
22010-0001	-1.41214342600966	-0.754514111917516	-5.01748742672884	-10.6380738371807
22010-0002	-8.48784003382305	-12.4403501192006	-0.38922303496524	-2.09743220105292
22010-0003	-0.0170359578714323	-10.0849744343075	-6.53038558262986	-11.7400618094703
22010-0004	-6.85308672815157	-2.1685885538795	-0.420246596229248	-5.53115863326421
22010-0005	-7.92298457172882	-12.4403501192006	-0.257648654543643	-2.64900970006438
22010-0006	-0.729300616089789	-8.32502431019142	-1.34702894157845	-10.7400618094703
22010-0007	-1.89788140059226	-12.4403501192006	-0.457051000942389	-8.29265030236512
22010-0008	-1.60263847582642	-2.42987072461528	-1.42608908407285	-3.14553691698103
22010-0009	-7.9270941663317	-8.04257138375164	-5.45760888303048	-0.0449214332057725
22010-0010	-2.4992678533003	-0.29646370406376	-6.81396437895659	-11.7400618094703
22010-0011	-6.08869820171477	-2.67453638989279	-4.46231577361363	-0.352345532953721
22010-0012	-2.61643109511384	-0.341266299350915	-5.21552788003863	-5.5964764887382
22010-0013	-4.68156012429737	-2.23885020653397	-0.478160418303968	-4.99841722963731
22010-0014	-2.73735128994203	-0.539411912330124	-4.21278338727305	-3.21010428707716
22010-0015	-8.06501215043695	-7.38694024532431	-4.69345328782499	-0.0715076074189339
22010-0016	-0.0477542662711068	-12.4403501192006	-8.25550073314839	-5.09361305077149
22010-0017	-1.1836135011362	-1.79008484224175	-2.78418692107364	-2.99507159275508
22010-0018	-9.42048661282577	-12.4403501192006	-1.81315629907616	-0.486058572198971
22010-0019	-0.0745108785808154	-9.0503588465876	-4.68403663234178	-6.71050884370297
22010-0020	-0.00827145932191348	-9.85264097037237	-7.75310529682146	-11.7400618094703
22010-0021	-0.00116854214803292	-11.4403501192006	-11.1184220243132	-11.7400618094703
22010-0022	-0.362248191049675	-2.40103140523795	-6.77591423468069	-5.40542317435511
22010-0023	-2.86459381819923	-5.33288995038381	-0.274118528802745	-6.51509328160456
22010-0024	-3.33266403244553	-4.83328917722539	-5.80177820448017	-0.23831120145608
22010-0025	-0.00519375969411872	-12.4403501192006	-8.68740808643905	-9.74185587046142
