ASV;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;Kingdom;Phylum;Class;Order;Family;Genus;Species
ASV1;8836,79413579895117;7,15798723205222;1,385990099417641;5,16452984408751;2,41044017821578e-07;1,27753329445436e-05;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;NA
ASV2;3474,42271639534601;3,90062540292458;1,272392695183256;3,06558298997684;2,17246077887600e-03;2,09346220509869e-02;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;iners
ASV3;296,70862695574448;-3,28154554287947;0,872681270981339;-3,76030247468166;1,69708032242395e-04;4,49726285442348e-03;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;disiens
ASV6;23,85887390279864;-7,93500428505664;2,269472826941446;-3,49640858919232;4,71566030405339e-04;8,72061771197882e-03;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;NA
ASV11;182,74939364920399;2,83914012904738;1,052382454943773;2,69782161010949;6,97948306883770e-03;4,62390753310498e-02;Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Atopobium;vaginae
ASV13;47,47895913195207;5,89920571510042;1,756313254799274;3,35885736726085;7,82654521126736e-04;1,18516256056334e-02;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;NA
ASV14;56,67115572088079;-4,19267497555173;1,429610645047572;-2,93273905736216;3,35986148884629e-03;2,96787764848089e-02;Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Gardnerella;vaginalis
ASV16;181,26494084663182;-22,78663712478631;1,926672907061164;-11,82693597925957;2,83295113589910e-32;3,00292820405305e-30;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;jensenii
ASV17;80,79985849373909;-3,85980916733061;1,386993332313291;-2,78286065073798;5,38819429905709e-03;3,80765730466701e-02;Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Dialister;NA
ASV38;11,85500638403271;8,31992727559581;1,993626795834643;4,17326216370032;3,00269091198558e-05;1,06095078890157e-03;Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;breve
ASV83;9,93322488833705;-4,50499735156324;1,618354622567271;-2,78368985928236;5,37443974528190e-03;3,80765730466701e-02;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;uenonis
ASV86;25,49374505257979;7,41905255899308;2,129344869601161;3,48419491126523;4,93619870489367e-04;8,72061771197882e-03;Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;NA
ASV99;9,40583016150775;-5,84640049932561;1,891465744701902;-3,09093649499162;1,99526302194467e-03;2,09346220509869e-02;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;corporis
ASV151;4,10911499730845;-4,04321584042694;1,301466914052837;-3,10666048961333;1,89213569968981e-03;2,09346220509869e-02;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;NA
ASV181;4,53338878849802;-5,75460386944256;1,854507882340916;-3,10303554071640;1,91546635674199e-03;2,09346220509869e-02;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;NA
ASV228;5,72568198777628;-4,59280963553269;1,644513071450441;-2,79280822710754;5,22526597753186e-03;3,80765730466701e-02;Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;DNF00809;NA
