ASV;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;Kingdom;Phylum;Class;Order;Family;Genus
ASV1;8836,79413579895117;7,12036766417145;1,385989353018485;5,13738987147651;2,78580622377420e-07;3,69119324650082e-06;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
ASV2;3474,42271639534601;4,99394952737839;1,272376385705944;3,92489956861910;8,67659294234268e-05;4,84062553625434e-04;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
ASV3;296,70862695574448;-3,37437284410289;0,872577408646764;-3,86713294507135;1,10122400694792e-04;5,83648723682399e-04;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella
ASV6;23,85887390279864;-5,59449328841369;2,257823315708993;-2,47782598819382;1,32185595310639e-02;2,74738688292700e-02;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus
ASV8;178,49258163390377;5,51012172700490;1,310204128905702;4,20554446856080;2,60454369214972e-05;2,12370485667593e-04;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
ASV9;97,07525751418837;-5,07589944863171;1,257296156618094;-4,03715498684494;5,41033275565118e-05;3,28795100727402e-04;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus
ASV10;145,65966060590912;-3,84251910203277;1,027799804163759;-3,73858711245731;1,85057369480824e-04;8,17336715206974e-04;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella
ASV11;182,74939364920399;2,60966992870742;1,052385321868211;2,47976655933845;1,31468422609919e-02;2,74738688292700e-02;Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Atopobium
ASV12;193,59872379234329;-1,65776353659384;0,716331658401679;-2,31424022259848;2,06545487524287e-02;4,05441142177303e-02;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Finegoldia
ASV13;47,47895913195207;4,23494039607710;1,757337641936701;2,40986153998836;1,59585756587685e-02;3,25309426890282e-02;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella
ASV15;66,48040925828005;-4,20039615410404;1,324311590256157;-3,17175820630821;1,51519104475796e-03;4,72383090424541e-03;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus
ASV16;181,26494084663182;6,44384331890586;1,883061333043032;3,42200394954348;6,21614106390379e-04;2,27210673370276e-03;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
ASV17;80,79985849373909;-3,94046097818534;1,386777402580492;-2,84145167844025;4,49086571123019e-03;1,16105308631805e-02;Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Dialister
ASV20;6,25110565337091;-4,10830845533176;1,783012238393886;-2,30413923520372;2,12148289004616e-02;4,08867611536169e-02;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas
ASV21;40,86306542239759;-4,77907307306952;1,254912369768403;-3,80829226661580;1,39929827668382e-04;6,74207351493111e-04;Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Alloscardovia
ASV23;44,56265263593669;-6,79492305367746;1,149929818599299;-5,90898935202340;3,44212948762874e-09;7,29731451377293e-08;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Fenollaria
ASV24;62,46881713470637;-2,71849868255674;0,674605112316481;-4,02976294268194;5,58331303122004e-05;3,28795100727402e-04;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Peptoniphilus
ASV25;54,77004325523992;-3,28892575439694;0,916071628450196;-3,59024955282276;3,30361520503810e-04;1,34685850666938e-03;Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;NA
ASV29;43,37882794415651;-4,23145994873183;1,646965959413570;-2,56924554180738;1,01920212326132e-02;2,25073802220209e-02;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella
ASV32;46,53125015082323;-3,37913311337218;1,161438409427627;-2,90943806054895;3,62079125633213e-03;1,01001019255581e-02;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Anaerococcus
ASV33;40,80696065704598;-3,84150108168771;1,702731205292225;-2,25608191695085;2,40655013959831e-02;4,50360401597512e-02;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella
ASV35;41,18820410964257;-3,25519041690565;1,023088852254537;-3,18172796989462;1,46399255030055e-03;4,70252152520783e-03;Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Campylobacteraceae;Campylobacter
ASV37;32,75727331027184;-5,94231499645704;1,085904939486378;-5,47222393082372;4,44422757864341e-08;6,72983033337430e-07;Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Dialister
ASV39;32,42864119948534;-7,57650025161158;1,332468284949629;-5,68606422921203;1,30000518616297e-08;2,29667582888791e-07;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Anaerococcus
ASV40;36,91944698424331;-4,84749275406935;1,451627148268611;-3,33935112735462;8,39743476335605e-04;2,87138091908304e-03;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella
ASV44;30,38202302120204;-6,23622344339680;1,501162707483249;-4,15426216779128;3,26338845789074e-05;2,47085126097442e-04;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Anaerococcus
ASV46;32,38378814497896;-4,13566817701940;1,160549258707630;-3,56354385304146;3,65881536762808e-04;1,38512296060206e-03;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Anaerococcus
ASV47;18,97743126115587;-24,33154729192298;1,462634772704368;-16,63542242123417;3,86023894737130e-62;4,09185328421357e-60;Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces
ASV48;25,83786683427153;-5,50752857499835;1,107620586993635;-4,97239635997304;6,61303261307310e-07;7,78868285539721e-06;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Ezakiella
ASV54;7,31513192378247;-5,17914148921816;1,934391414060586;-2,67740099111914;7,41957776604188e-03;1,78744373454645e-02;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella
ASV57;90,30773064058590;7,48759426289525;1,695873379658708;4,41518473767311;1,00923764825653e-05;8,91493255959939e-05;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
