Genus;01_postmenopausal;02_premenopausal;03_trans-men
Actinomyces;0.57 ± 1.87;0 ± 0;0.66 ± 1.39
Alloscardovia;3.93 ± 14.08;0.01 ± 0.04;1.43 ± 5.09
Anaerococcus;3.07 ± 5.57;0.09 ± 0.29;4.06 ± 3.34
Atopobium;4.52 ± 10.42;2.31 ± 6.57;0.92 ± 1.18
Bifidobacterium;4.06 ± 14.92;0.44 ± 2.19;0.02 ± 0.1
Campylobacter;0.93 ± 1.84;0.06 ± 0.19;1.48 ± 2.89
Corynebacterium;0.83 ± 2.82;0.02 ± 0.09;0.01 ± 0.06
DNF00809;0 ± 0;0.07 ± 0.21;0.15 ± 0.42
Dialister;1.12 ± 2.12;0.15 ± 0.45;6.1 ± 6.33
Escherichia-Shigella;4.44 ± 14.45;0.54 ± 2.04;0.06 ± 0.18
Ezakiella;0.68 ± 1.4;0.01 ± 0.02;0.87 ± 1.24
Fenollaria;0.55 ± 1.78;0 ± 0.01;2.25 ± 2.52
Finegoldia;3.96 ± 6.13;0.35 ± 0.74;2.29 ± 4.78
Fusobacterium;0.5 ± 1.78;0 ± 0.01;0.9 ± 2.46
Gardnerella;0.39 ± 1.39;3.15 ± 7.76;2.36 ± 5.52
HT002;0.08 ± 0.2;0.34 ± 0.58;0.01 ± 0.04
Howardella;2.63 ± 10.1;0.01 ± 0.03;0.46 ± 1.1
Lactobacillus;24.28 ± 34.48;71.66 ± 35.72;6 ± 8.97
Moryella;0.02 ± 0.11;0 ± 0;0.49 ± 1.08
Parvimonas;0.56 ± 1.87;0 ± 0;0.76 ± 1.41
Peptoniphilus;1.74 ± 2.74;0.11 ± 0.22;2.72 ± 2.43
Peptostreptococcus;0.32 ± 0.67;0.02 ± 0.09;0.52 ± 0.85
Porphyromonas;1.29 ± 3.4;0.03 ± 0.1;5.65 ± 10.79
Prevotella;5.8 ± 9.75;1.16 ± 2.82;24.3 ± 18.51
Sneathia;0.14 ± 0.7;0.64 ± 2.4;0.01 ± 0.03
Streptococcus;9.19 ± 17.9;5.91 ± 19.62;9.67 ± 18.53
Sutterella;0.01 ± 0.02;0 ± 0.01;0.19 ± 0.3
Ureaplasma;0.07 ± 0.29;0.57 ± 1.74;0.02 ± 0.08
NA;0.87 ± 1.93;0.57 ± 1.89;1.52 ± 2.37
