Taxonomy;Abundance
"p_Firmicutes;f_Lactobacillaceae;g_Lactobacillus";30,570157703194507
"p_Actinobacteriota;f_Bifidobacteriaceae;g_Bifidobacterium";16,686885024935972
"p_Actinobacteriota;f_Bifidobacteriaceae;g_Gardnerella";12,400593071842568
"p_Proteobacteria;f_Moraxellaceae;g_Enhydrobacter";5,795929370535114
"p_Firmicutes;f_Family XI;g_Anaerococcus";4,717616929505324
"p_Actinobacteriota;f_Bifidobacteriaceae;g_Alloscardovia";3,612346677449790
"p_Firmicutes;f_Streptococcaceae;g_Lactococcus";3,410163094756707
"p_Bacteroidota;f_Prevotellaceae;g_Prevotella";3,369726378218088
"p_Firmicutes;f_Streptococcaceae;g_Streptococcus";3,046232645909151
"p_Proteobacteria;f_Moraxellaceae;g_Acinetobacter";2,453160803342768
"p_Actinobacteriota;f_Atopobiaceae;g_Atopobium";2,156624882059576
"p_Firmicutes;f_Family XI;g_Finegoldia";1,550074133980321
"p_Firmicutes;f_Staphylococcaceae;g_Staphylococcus";1,307453834748618
"p_Actinobacteriota;f_Propionibacteriaceae;g_Cutibacterium";1,172664779619895
"p_Firmicutes;f_Lachnospiraceae;g_Anaerostipes";1,172664779619895
"p_Firmicutes;f_Ruminococcaceae;g_Faecalibacterium";1,078312441029788
"p_Actinobacteriota;f_Corynebacteriaceae;g_Corynebacterium";0,916565574875320
"p_Actinobacteriota;f_Actinomycetaceae;g_NA";0,687424181156490
"p_Proteobacteria;f_Xanthobacteraceae;g_Bradyrhizobium";0,660466370130745
"p_Actinobacteriota;f_Actinomycetaceae;g_Varibaculum";0,593071842566384
"p_Firmicutes;f_Family XI;g_Ezakiella";0,593071842566384
"p_Firmicutes;f_Enterococcaceae;g_Enterococcus";0,579592937053511
"p_Actinobacteriota;f_Corynebacteriaceae;g_NA";0,539156220514894
"p_Actinobacteriota;f_Pseudonocardiaceae;g_Prauserella";0,539156220514894
"p_Firmicutes;f_Marinococcaceae;g_Alteribacillus";0,390888259873298
